,taxon_name,mean.LMA.g.m2,mean.leafN.mg.g,mean.RMF.g.g,mean.SRL,LMA.kg.m2,SLA.m2.kg
27,Centipeda cunninghamii,46.18937644,NA,NA,NA,0.046189376,21.65
28,Centrolepis aristata,35.59686451,19.7,NA,NA,0.035596865,28.09236189
29,Centrolepis strigosa,177.5568182,NA,NA,NA,0.177556818,5.632
30,Cephalipterum drummondii,26.82223503,NA,NA,NA,0.026822235,37.28250084
31,Chamaescilla corymbosa,15.84032948,23,NA,NA,0.015840329,63.13
32,Chrysocephalum apiculatum,60.72512244,NA,NA,NA,0.060725122,16.46764897
33,Cirsium vulgare,100.0219479,NA,NA,NA,0.100021948,9.99780569
34,Commelina cyanea,NA,40.4,NA,NA,NA,NA
35,Crassula colorata,23.67200271,NA,NA,NA,0.023672003,42.24399652
36,Cynodon dactylon,107.8680203,NA,NA,NA,0.10786802,9.270588235
37,Deschampsia cespitosa,310.6593169,NA,NA,NA,0.310659317,3.218960274
38,Dichelachne crinita,75.62717885,NA,NA,NA,0.075627179,13.22275953
39,Drosera aberrans,96.04308391,NA,NA,NA,0.096043084,10.41199386
40,Enneapogon polyphyllus,144.9275362,6.55,NA,NA,0.144927536,6.9
41,Eragrostis setifolia,104.9127188,NA,NA,NA,0.104912719,9.531732777
42,Eremophila gilesii,121.9384774,NA,NA,NA,0.121938477,8.200856869
43,Erigeron bonariensis,85.35031847,NA,NA,NA,0.085350318,11.71641791
44,Erodium aureum,26.24745009,NA,NA,NA,0.02624745,38.098939
45,Erodium cicutarium,27.47252747,NA,NA,NA,0.027472527,36.4
46,Erodium crinitum,110.8640857,NA,NA,NA,0.110864086,9.020053642
47,Euphorbia drummondii,127.670766,NA,NA,NA,0.127670766,7.832646668
48,Goodenia cycloptera,116.2790698,NA,NA,NA,0.11627907,8.6
49,Grevillea australis,204.2109855,NA,NA,NA,0.204210986,4.896896205
50,Heteropogon contortus,NA,7.015222222,NA,NA,NA,NA
51,Holcus lanatus,36.12669582,NA,NA,NA,0.036126696,27.6803615
52,Hyalosperma demissum,26.34160941,NA,NA,NA,0.026341609,37.96275255
53,Hyalosperma semisterile,78.74015748,NA,NA,NA,0.078740157,12.7
54,Hydrocotyle foveolata,24.41966317,NA,NA,NA,0.024419663,40.9506058
55,Hypochaeris glabra,24.06231907,NA,NA,NA,0.024062319,41.55875405
56,Hypochaeris radicata,60.91680085,25.22637327,NA,71.66333333,0.060916801,16.41583251
57,Hypolaena fastigiata,477.3968254,5.5,NA,2.742290055,0.477396825,2.094693443
58,Isoetopsis graminifolia,48.63452273,NA,NA,NA,0.048634523,20.56152593
59,Juncus bufonius,49.96087783,NA,NA,NA,0.049960878,20.01566112
60,Lactuca serriola,42.28683567,NA,NA,NA,0.042286836,23.64802152
61,Lepidosperma carphoides,372.3632747,6.497979368,NA,NA,0.372363275,2.685549483
62,Lepidosperma congestum,365.3635367,NA,NA,NA,0.365363537,2.737
63,Levenhookia dubia,21.33048004,NA,NA,NA,0.02133048,46.88127028
64,Lolium perenne,830.5970152,15.33843289,NA,NA,0.830597015,1.203953279
65,Lomandra nana,190.9376117,NA,NA,NA,0.190937612,5.237312811
66,Maireana sedifolia,245.7154545,39.14135,NA,NA,0.245715455,4.069748083
67,Medicago minima,31.29672595,NA,NA,NA,0.031296726,31.95222406
68,Medicago polymorpha,28.59311114,NA,NA,NA,0.028593111,34.973459
69,Melicytus dentatus,39.84063745,NA,NA,NA,0.039840637,25.1
70,Microseris scapigera,28.38489923,NA,NA,NA,0.028384899,35.23
71,Millotia tenuifolia,27.58363124,NA,NA,NA,0.027583631,36.25338489
72,Minuria denticulata,99.00990099,NA,NA,NA,0.099009901,10.1
73,Myosotis discolor,25.66588379,NA,NA,NA,0.025665884,38.96222738
74,Nassella trichotoma,88.51662812,NA,NA,NA,0.088516628,11.2973124
75,Neurachne alopecuroidea,130.2202069,NA,NA,NA,0.130220207,7.679299731
76,Paspalidium clementii,NA,6.25,NA,NA,NA,NA
77,Paspalum dilatatum,61.33170676,NA,NA,NA,0.061331707,16.30478023
78,Pelargonium rodneyanum,61.0862314,NA,NA,NA,0.061086231,16.37030108
79,Phebalium squamulosum,167.0261956,17.6,NA,NA,0.167026196,5.987084818
80,Phragmites australis,175.1588369,NA,NA,NA,0.175158837,5.709103907
81,Pimelea alpina,95.8391362,NA,NA,NA,0.095839136,10.4341508
82,Pimelea humilis,44.56327986,NA,NA,NA,0.04456328,22.44
83,Plantago euryphylla,161.0998764,16.72278793,NA,NA,0.161099876,6.207329404
84,Plantago lanceolata,97.49734904,NA,NA,NA,0.097497349,10.25668913
85,Poa hiemata,298.0350263,13.7803809,NA,NA,0.298035026,3.355310321
86,Ptilotus obovatus,133.2102981,26.89403504,NA,NA,0.133210298,7.506927126
87,Ptilotus polystachyus,90.29965444,23.98,NA,37,0.090299654,11.0742395
88,Quinetia urvillei,34.82923594,NA,NA,NA,0.034829236,28.71151127
89,Rhodanthe floribunda,64.93506494,NA,NA,NA,0.064935065,15.4
90,Rhodanthe pygmaea,23.48630774,NA,NA,NA,0.023486308,42.57799953
91,Romulea rosea,96.95925123,NA,NA,NA,0.096959251,10.313611
92,Rumex acetosella,80.11541422,26.85941392,NA,NA,0.080115414,12.48199251
93,Rumex crispus,51.41096824,NA,NA,NA,0.051410968,19.45110225
94,Rytidosperma caespitosum,105.9284854,NA,NA,172.4,0.105928485,9.440331336
95,Schoenus apogon,99.57387512,NA,NA,NA,0.099573875,10.04279485
96,Sclerolaena diacantha,182.7358803,17.13159156,NA,NA,0.18273588,5.472379034
97,Sclerolaena eriacantha,134.1506752,NA,NA,NA,0.134150675,7.454304636
98,Sclerolaena obliquicuspis,206.4600328,NA,NA,NA,0.206460033,4.843552461
99,Sida intricata,104.1666667,NA,NA,NA,0.104166667,9.6
100,Sida petrophila,152.502256,NA,NA,NA,0.152502256,6.557280047
101,Siloxerus multiflorus,214.1327623,NA,NA,NA,0.214132762,4.67
102,Solanum ellipticum,145.5306323,37.01758824,NA,NA,0.145530632,6.871405587
103,Sonchus oleraceus,89.50215675,27.22762071,NA,76.97,0.089502157,11.17291512
104,Themeda triandra,84.81437267,8.6905,NA,NA,0.084814373,11.79045448
105,Thyridolepis mitchelliana,56.6155914,NA,NA,NA,0.056615591,17.66297897
106,Thysanotus tuberosus,224.1758472,NA,NA,NA,0.224175847,4.460783856
107,Tragopogon dubius,49.39037444,NA,NA,NA,0.049390374,20.24686007
108,Triodia basedowii,NA,6.4,NA,NA,NA,NA
109,Vicia hirsuta,26.64941272,NA,NA,NA,0.026649413,37.52427907
110,Viola betonicifolia,58.54421265,NA,NA,NA,0.058544213,17.08110767
111,Vulpia bromoides,42.10234902,NA,NA,565.3133333,0.042102349,23.75164387
112,Vulpia myuros,92.55621087,17.1507779,NA,NA,0.092556211,10.80424523
113,Wahlenbergia gracilenta,23.61077267,NA,NA,NA,0.023610773,42.35354826
114,Wahlenbergia stricta,33.95758706,NA,NA,NA,0.033957587,29.44849992
