"","cover.change","site_code","Taxon","leafN.final","height.final","rootN.final","SLA.final","root.depth.final","rootDiam.final","SRL.final","RTD.final","RMF.final","mean.DSI","mean.MAP"
"35",0,"capwhite.us","AMBROSIA DELTOIDEA",44.19,0.4,12.2878043313037,2.617596281,1.085,0.344686173217603,52.2679629855249,0.322910723201581,0.42327823167936,-0.4255,204
"36",-4.833333333,"cedarsav.us","AMBROSIA PSILOSTACHYA",26.3,0.359666667,12.898947,18.22,0.99,0.443566667,72.86941615,0.373588,0.421354782708193,-0.476003958944282,682
"37",-16.2,"konzadrt.us","AMBROSIA PSILOSTACHYA",26.3,0.359666667,12.898947,18.22,0.99,0.443566667,72.86941615,0.373588,0.421279153244644,-0.460356263493976,830
"38",11.66666667,"marcdrt.ar","AMBROSIA TENUIFOLIA",28.1,0.533333333,13.0568714575067,11.245,0.909258632799241,0.379937762510561,87.3329248841497,0.209645911689084,0.421447518525888,-0.190160577648453,927.9
"39",3.490905725,"scruzh.us","ANAGALLIS ARVENSIS",25.24965,0.187,12.9592005628292,28.54781609,0.315,0.307302240241075,74.80456747,0.469554294362441,0.314710110920358,0.124284563758389,745
"40",-2.6,"cedartrait.us","ANDROPOGON GERARDII",15.9,0.125,14.4,35.4,0.508,0.704,60.09709758,0.27992125,0.467881279,-0.422295249266862,682
"41",10.56944444,"brookdale.ca","ANDROPOGON GERARDII",15.9,0.125,14.4,35.4,0.508,0.704,60.09709758,0.27992125,0.467881279,-0.500414960354281,474.2
"42",-10.42619047,"cedarsav.us","ANDROPOGON GERARDII",15.9,0.125,14.4,35.4,0.508,0.704,60.09709758,0.27992125,0.467881279,-0.476003958944282,682
"43",7.91666667,"purdue.us","ANDROPOGON GERARDII",15.9,0.125,14.4,35.4,0.508,0.704,60.09709758,0.27992125,0.467881279,-0.181688421052632,950
"44",5.8,"konzadrt.us","ANDROPOGON GERARDII",15.9,0.125,14.4,35.4,0.508,0.704,60.09709758,0.27992125,0.467881279,-0.460356263493976,830
"45",0,"kernb.ca","ANDROSACE SEPTENTRIONALIS",19.5,0.009,12.29704857,21.53583333,0.1,0.36545218148021,155.7514351,0.556349207,0.331435061274936,-0.252982753746112,353.7
"46",0,"mattheis.ca","ANDROSACE SEPTENTRIONALIS",19.5,0.009,12.29704857,21.53583333,0.1,0.364965205921933,155.7514351,0.556349207,0.331150404137977,-0.402494606666464,329.11
"47",-1,"lygraint.no","ANTHOXANTHUM ODORATUM",20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.111111111,344.3025853,0.114313918,0.534301054,-0.511951656222023,2234
"48",-8.75,"rhijn.nl","ANTHOXANTHUM ODORATUM",20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.111111111,344.3025853,0.114313918,0.534301054,-0.629639361541936,796.92
"49",1.366666667,"cowidrt.ca","ANTHOXANTHUM ODORATUM",20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.111111111,344.3025853,0.114313918,0.534301054,-0.450146972398589,1134
"50",-5.833333333,"elvadrt.ee","ANTHOXANTHUM ODORATUM",20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.111111111,344.3025853,0.114313918,0.534301054,-0.661241176470588,680
"51",-2.01666667,"teshio.jp","ANTHOXANTHUM ODORATUM",20.45846429,0.775214286,8.005555556,29.66344918,0.155,0.111111111,344.3025853,0.114313918,0.534301054,-0.303829793377765,1108.206
"52",-0.541666667,"allmendo.ch","ANTHYLLIS VULNERARIA",32.33118574,0.2845,19.6042,18.11730025,1.7,0.144333333,149.3012403,0.0549,0.332563131,-0.425284221525601,957
"53",-0.620833333,"baddrt.de","APERA SPICA-VENTI",17.8786388846752,0.775,7.30278280453758,19.13333333,0.66,0.314011510458813,93.314195182902,0.210084524296244,0.346243367,-0.191189111747851,488.6
"54",2,"cobar.au","ARISTIDA CONTORTA",14.8058242180248,0.3,5.3915250949334,9.37,0.691853150590223,0.510864203083926,30.0332223009751,0.325456807688991,0.371286084030072,-0.757768361581921,354
"55",-10.25,"ethadb.au","ARISTIDA HOLATHERA",8.4875,0.7,2.975,5.62,0.764621179558417,0.375,22.3996087647463,0.409326980568364,0.371602450798576,-0.667512953367876,193
"56",4.47666667,"cerrillos.ar","ARISTIDA MENDOCINA",23.9,0.47,5.67287260141463,12.66,0.670388778545978,0.48007716183604,34.6880919878811,0.297600497306371,0.358425599675247,-0.548221670769231,390
"57",1.0691693,"jrnchi.us","ARISTIDA PURPUREA",14.9,0.086,6.528089643,35.63,1.315133333,0.7061,26.65175783,0.327164,0.366204139,-0.61560097323601,246.6
"58",-6.666666667,"cdpt_drt.us","ARISTIDA PURPUREA",14.9,0.086,6.528089643,35.63,1.315133333,0.7061,26.65175783,0.327164,0.366204139,-0.422012098598206,473.964
"59",-9,"sand.us","ARISTIDA STRICTA",14.6959479216794,1.18872,5.4752920823494,5.943,0.1524,0.434958057592694,30.2395672298982,0.365109726944395,0.339332991236435,-0.0640951173044926,1202
"60",0,"paike.ar","ARMERIA MARITIMA",17,0.308106667,9.3,13.41474,0.254,0.221876923,53.1810014829806,0.334329649106611,0.532797956463463,-0.531082082425743,202
"61",17.16666666,"rhijn.nl","ARRHENATHERUM ELATIUS",25.84,0.4715,8.902914385,29.67,0.3556,0.3197,190.1954961,0.153268837,0.590536924,-0.629639361541936,796.92
"62",-1,"kiskun.hu","ARTEMISIA CAMPESTRIS",28.42,0.637875,9.064339995,13.34316615,1.22,0.424112249613652,52.76693918,0.171914495436411,0.547920434,-0.429093959731544,596
"63",-1,"konzadrt.us","ARTEMISIA LUDOVICIANA",19.24454545,0.146666667,11.625,27.64,0.2032,0.679725,11.98698158,0.20378902,0.24225099,-0.460356263493976,830
"64",1.25,"kernnu.ca","ARTEMISIA LUDOVICIANA",19.24454545,0.146666667,11.625,27.64,0.2032,0.679725,11.98698158,0.20378902,0.24225099,-0.252982753746112,353.7
"65",-1.4,"cedarsav.us","ARTEMISIA LUDOVICIANA",19.24454545,0.146666667,11.625,27.64,0.2032,0.679725,11.98698158,0.20378902,0.24225099,-0.476003958944282,682
"66",3.533333333,"brookdale.ca","ARTEMISIA LUDOVICIANA",19.24454545,0.146666667,11.625,27.64,0.2032,0.679725,11.98698158,0.20378902,0.24225099,-0.500414960354281,474.2
"67",-9.5,"kernb.ca","ARTEMISIA LUDOVICIANA",19.24454545,0.146666667,11.625,27.64,0.2032,0.679725,11.98698158,0.20378902,0.24225099,-0.252982753746112,353.7
"68",-2,"cedartrait.us","ASCLEPIAS TUBEROSA",26.19666667,0.4575,19.260113,25.51287911,0.4064,0.5,36.66666667,0.22,0.53,-0.422295249266862,682
"69",1.966666667,"konzadrt.us","ASCLEPIAS VIRIDIS",30.71,0.456,20.2301111320604,11.45383188,0.433714593752298,0.36446,41.57111916,0.320747,0.511032351,-0.460356263493976,830
"70",0,"allmendb.ch","ASPERULA CYNANCHICA",15,0.284375,11.6286857092619,27.91666667,0.93,0.219064533473611,101.350190033248,0.221750015820302,0.607850625230784,-0.416706374085684,957
"71",0.958333333,"allmendo.ch","ASPERULA CYNANCHICA",15,0.284375,11.6075737510693,27.91666667,0.93,0.219023896622265,101.279082950114,0.221506146281175,0.607941483941587,-0.425284221525601,957
"72",-0.5,"falls.au","ASPERULA GUNNII",11.66072727,0.316,11.4481801099995,21.01661896,0.650274722540783,0.217952542311707,94.6564436873312,0.239809655192257,0.603457746437321,-0.776661031276416,2366
"73",-0.25,"capwhite.us","ASTRAGALUS NUTTALLIANUS",31.1971009448506,0.278258758790671,17.4225445865443,20.29476228,0.13,0.306164855178218,84.0337009637819,0.150400539772649,0.311962773606998,-0.4255,204
"74",-0.25,"capmcd.us","ASTRAGALUS NUTTALLIANUS",31.2596178551574,0.277907278904611,17.4415299284402,20.29476228,0.13,0.305883827300493,84.0726289707399,0.150014602069866,0.312169970572742,-0.559333333333333,204
"75",7.5,"milparinka.au","ASTREBLA LAPPACEA",17.3235727757574,0.65,7.40174295412587,11.27071875,0.392628171083514,0.25146667,88.5004370692985,0.246540971821507,0.405895146773255,-0.584010416666667,192
"76",-6,"milparinka.au","ASTREBLA PECTINATA",17.3583303013823,0.63,7.35648550313438,11.34143293,0.394482026759416,0.273928101754668,87.6909085540977,0.247483445372469,0.404631042773259,-0.584010416666667,192
"77",-2.8965751,"scruzh.us","AVENA BARBATA",17,0.389,7.05117208303793,25.46342593,0.5,0.746666667,126.724969189742,0.07,0.467209767,0.124284563758389,745
"78",5,"naposta.ar","AVENA BARBATA",17,0.389,7.06671563489793,25.46342593,0.5,0.746666667,127.843972488867,0.07,0.467209767,-0.346126582278481,553
"79",6.147066233,"scruzl.us","AVENA BARBATA",17,0.389,7.09243659875055,25.46342593,0.5,0.746666667,127.580542125256,0.07,0.467209767,-0.864030469127517,745
"80",-4.41239014,"scruzm.us","AVENA BARBATA",17,0.389,7.08013201800795,25.46342593,0.5,0.746666667,127.48869088692,0.07,0.467209767,-0.0461530201342282,745
"81",-3.925,"yarradrt.au","AXONOPUS FISSIFOLIUS",11.3,0.07836831,6.69803792705064,16.32,0.362978549353825,0.361547667550661,76.9031507268344,0.25362222697706,0.421883618651109,-0.1740125,800
"82",0.83,"kiskun.hu","BASSIA LANIFLORA",22.2798089511573,0.25,8.98356781404614,7.806666667,0.632870825292365,0.250725917132602,46.7614764721143,0.317832262070996,0.230500749944063,-0.429093959731544,596
"83",1,"marcdrt.ar","BOTHRIOCHLOA LAGUROIDES",17.433,0.37949799715426,7.30108301601651,18.83239,0.377273561321788,0.312846028385265,96.1020773204404,0.221980462572467,0.402301021954735,-0.190160577648453,927.9
"84",21.245,"cerrillos.ar","BOUTELOUA ARISTIDOIDES",15.9,0.04,7.88414662841779,12.89,0.3,0.265,103.65,0.436240944905338,0.416650650315053,-0.548221670769231,390
"85",0,"cedartrait.us","BOUTELOUA CURTIPENDULA",16.6,0.2475,13.6452491,36.44,0.3048,0.597475,108.473243,0.311237007,0.388111111,-0.422295249266862,682
"86",-2,"konzadrt.us","BOUTELOUA CURTIPENDULA",16.6,0.2475,13.6452491,36.44,0.3048,0.597475,108.473243,0.311237007,0.388111111,-0.460356263493976,830
"87",8.5,"cedartrait.us","BOUTELOUA GRACILIS",16.1,0.136666667,5.7625,33.85,0.135,0.5731,25.86916574,0.426463814,0.33053001,-0.422295249266862,682
"88",-1.16666667,"cdpt_drt.us","BOUTELOUA GRACILIS",16.1,0.136666667,5.7625,33.85,0.135,0.5731,25.86916574,0.426463814,0.33053001,-0.422012098598206,473.964
"89",-1.6,"mattheis.ca","BOUTELOUA GRACILIS",16.1,0.136666667,5.7625,33.85,0.135,0.5731,25.86916574,0.426463814,0.33053001,-0.402494606666464,329.11
"90",1.22176715,"scruzm.us","BRACHYPODIUM DISTACHYON",18.016125,0.1005,6.43618365259344,31.34417431,0.5,0.326115351572724,217.610867775622,0.073220833,0.36375,-0.0461530201342282,745
"91",2.916666667,"allmendo.ch","BRACHYPODIUM PINNATUM",18.10766667,0.540866667,7.10106212,23.44096448,0.1,0.22129993,207.6695041,0.29,0.45742541,-0.425284221525601,957
"92",-3.33333333,"allmendb.ch","BRACHYPODIUM PINNATUM",18.10766667,0.540866667,7.10106212,23.44096448,0.1,0.22129993,207.6695041,0.29,0.45742541,-0.416706374085684,957
"93",-0.416666666,"allmendo.ch","BRIZA MEDIA",19.10016667,0.41946,2.042559524,21.30606114,0.52,0.171363333,288.6987236,0.179667951,0.470096477,-0.425284221525601,957
"94",-0.833333334,"allmendb.ch","BRIZA MEDIA",19.10016667,0.41946,2.042559524,21.30606114,0.52,0.171363333,288.6987236,0.179667951,0.470096477,-0.416706374085684,957
"95",1e-08,"elvadrt.ee","BRIZA MEDIA",19.10016667,0.41946,2.042559524,21.30606114,0.52,0.171363333,288.6987236,0.179667951,0.470096477,-0.661241176470588,680
"96",0,"cowidrt.ca","BROMUS CARINATUS",25.72839682,0.176,5.14,21.99023979,0.2032,0.315,96.20199367,0.135077867,0.454425295,-0.450146972398589,1134
"97",13.91666666,"marcdrt.ar","BROMUS CATHARTICUS",39.6088,0.9572,4.9,35,0.3048,0.30525,129.3385704,0.113,0.28,-0.190160577648453,927.9
"98",-18.33333334,"naposta.ar","BROMUS CATHARTICUS",39.6088,0.9572,4.9,35,0.3048,0.30525,129.3385704,0.113,0.28,-0.346126582278481,553
"99",4.791909,"scruzm.us","BROMUS DIANDRUS",28.72502857,0.677571429,8.10018473128664,39,0.588192747384921,0.347222115502698,179.5244125,0.064833597,0.566488452,-0.0461530201342282,745
"100",-6.41666666,"allmendo.ch","BROMUS ERECTUS",18.81892435,0.717333333,7.243150315,20.26018543,0.894,0.273789089,157.1212818,0.160875,0.478609045,-0.425284221525601,957
"101",-3.41666667,"allmendb.ch","BROMUS ERECTUS",18.81892435,0.717333333,7.243150315,20.26018543,0.894,0.273789089,157.1212818,0.160875,0.478609045,-0.416706374085684,957
"102",-1.033333333,"brookdale.ca","BROMUS INERMIS",23.12,0.15,6.56875,46.32,0.3048,0.6827,28.58549426,0.324438565,0.559941695,-0.500414960354281,474.2
"103",6.5,"cdpt_drt.us","BROMUS JAPONICUS",20.9,0.2825,7.02278099442812,39.52,1.5,0.5409,100.142001111225,0.15714919667062,0.469834160511955,-0.422012098598206,473.964
"104",-1.625,"oreaa.us","BROMUS JAPONICUS",20.9,0.2825,7.04151445395673,39.52,1.5,0.5409,100.674629436309,0.156586070623652,0.470229907131761,-0.447799061167002,497
"105",-2.661304941,"nnss.us","BROMUS RUBENS",28.76869872,0.39624,7.06968739099621,18.71337185,0.2032,0.329724754385966,120.770224577976,0.193506271870931,0.393187570868516,-0.474786144578313,132.8
"106",0.15952381,"gmmolar.us","BROMUS RUBENS",28.76869872,0.39624,7.05209334545134,18.71337185,0.2032,0.329194148084362,120.442710001326,0.193237927742804,0.392935453627138,-0.649568181818182,220
"107",0.5,"gmgranite.us","BROMUS RUBENS",28.76869872,0.39624,7.06696743018194,18.71337185,0.2032,0.329003354174777,121.378389512652,0.193430338791699,0.392782018808843,-0.649568181818182,220
"108",0,"capmcd.us","BROMUS RUBENS",28.76869872,0.39624,7.07332403481758,18.71337185,0.2032,0.328947281802551,121.44378450788,0.193337903388457,0.393486246647498,-0.559333333333333,204
"109",0.833333333,"cowidrt.ca","BROMUS STERILIS",27.9,0.658333333,7.78501241270126,33.24166981,1.5,0.362261871096685,121.502769285232,0.157924063736508,0.485139699,-0.450146972398589,1134
"110",2.8975,"baddrt.de","BROMUS STERILIS",27.9,0.658333333,7.78926679747653,33.24166981,1.5,0.362283293782762,121.565006959127,0.158046526747754,0.485139699,-0.191189111747851,488.6
"111",-3.683842713,"nnss.us","BROMUS TECTORUM",24.529,0.2175,7.4375,44.63,0.90288,0.5728,57.42164697,0.471744504,0.425,-0.474786144578313,132.8
"112",-19.32380952,"nplatte.us","BROMUS TECTORUM",24.529,0.2175,7.4375,44.63,0.90288,0.5728,57.42164697,0.471744504,0.425,-0.630032754098361,305
"113",3,"hard.us","BROMUS TECTORUM",24.529,0.2175,7.4375,44.63,0.90288,0.5728,57.42164697,0.471744504,0.425,-0.0919577573593073,462
"114",0,"cobar.au","BULBINE BULBOSA",20.488893346472,0.4,3.82029868980829,33.38,0.524780041047062,0.412261007731287,55.9928226658748,0.20628862766767,0.443100149666151,-0.757768361581921,354
"115",-5.3,"ethadn.au","CALANDRINIA BALONENSIS",21.2076306480099,0.275,7.57696622858152,7.11,0.215667048273486,0.327181522606106,130.966097071905,0.0647566330255853,0.239920477149912,-0.667512953367876,193
"116",0,"capmcd.us","CALANDRINIA CILIATA",21.1,0.0254,7.15028002881016,26.31594056,0.177856007322905,0.3,212.5,0.0417,0.192159626,-0.559333333333333,204
"117",0,"credoj.au","CALOTIS HISPIDULA",18.0065406870173,0.103333333,9.58226977095919,11.50591422,0.450251213356276,0.423504875324077,74.7853506465958,0.186652597034384,0.411160990363682,-0.474289946841294,259.6
"118",0.5,"quilpie.au","CALOTIS HISPIDULA",17.9889489619344,0.103333333,9.546623568389,11.50591422,0.450186111909033,0.424780579420038,74.6301849802289,0.187218324367183,0.411540697198429,-0.866920903954802,354
"119",0.666666667,"cobar.au","CALOTIS LAPPULACEA",18.6699895866401,0.5,10.0403250031533,15.76,0.470588206044449,0.393411457792065,87.0168713513273,0.169144847458505,0.400926738949331,-0.757768361581921,354
"120",1,"milparinka.au","CALOTIS PORPHYROGLOSSA",18.7408016921388,0.33325,10.0543941143714,15.1810251842027,0.473340513912744,0.390168839285649,86.0341216935337,0.170282442959184,0.400387182253983,-0.584010416666667,192
"121",0.666666667,"spvdrt.ar","CARDIONEMA RAMOSISSIMUM",22.8440790974157,0.208818387254018,11.8032585025851,9.801,0.261915838879601,0.189757706384861,74.0574457495367,0.327841856992969,0.250500238364594,-0.189847513145966,220.6
"122",1,"marcdrt.ar","CARDUUS ACANTHOIDES",17.22267499,1.075,9.91677608094844,18.83333333,1.79,0.449491869791167,170.521689020384,0.0374148028172477,0.361024188386534,-0.190160577648453,927.9
"123",0.75,"kernb.ca","CARDUUS NUTANS",33,1.15,10.0966838704271,12.355,0.93815720750113,0.4145291863324,179.339931417125,0.038093175683841,0.341905617076932,-0.252982753746112,353.7
"124",11.58399878,"scruzl.us","CARDUUS PYCNOCEPHALUS",8.2,0.622333333,9.25936572596696,38,0.98438105020133,0.543842474460401,224.904244288822,0.023256534,0.34,-0.864030469127517,745
"125",-0.75648387,"scruzm.us","CARDUUS PYCNOCEPHALUS",8.2,0.622333333,9.25051720859219,38,0.978284363604779,0.543821665660439,226.020197378811,0.023256534,0.34,-0.0461530201342282,745
"126",-0.666666667,"paike.ar","CAREX ANDINA",16.8,0.04,5.59952054698294,17.1853869233882,0.415597774251727,0.245957316002872,57.819067250014,0.291703982805563,0.390930492737945,-0.531082082425743,202
"127",-1,"hyide.de","CAREX ARENARIA",19.12604168,0.384259259,5.01805437850031,13.42542463,1.611656129,0.268556242915792,44.8386027270348,0.2752643474925,0.226666667,-0.331423819643352,541.15
"128",2.22e-16,"hoide.de","CAREX ARENARIA",19.12604168,0.384259259,5.04776849173598,13.42542463,1.611656129,0.266427041499459,44.7781740666882,0.27678102382575,0.226666667,-0.331423819643352,541.15
"129",-0.166666667,"falls.au","CAREX BREVICULMIS",18.30157885,0.05,5.65929916453056,14.60009466,0.416083061623097,0.239929989152792,57.6108807601633,0.295148194628314,0.389112827522075,-0.776661031276416,2366
"130",0.16666667,"allmendo.ch","CAREX CARYOPHYLLEA",18,0.223333333,6.82565376790406,19.74658333,0.2,0.0784,109.630862347719,0.289010467521956,0.417249417,-0.425284221525601,957
"131",-0.08333333,"allmendb.ch","CAREX CARYOPHYLLEA",18,0.223333333,6.87153731436442,19.74658333,0.2,0.0784,110.464742128773,0.290734893430885,0.417249417,-0.416706374085684,957
"132",1.6,"passogavia.it","CAREX CURVULA",11.89013,0.16,5.62027510510445,9.999104145,0.65,0.237648559904083,49.2845326860754,0.327435412277898,0.402531332891004,-0.480719995316159,1281
"133",1,"lygraint.no","CAREX ECHINATA",17.748,0.33305,6.00215718271933,15.86833333,0.2032,0.201808310278891,74.4057816122189,0.268356737039118,0.352113526014302,-0.511951656222023,2234
"134",-1.5,"lygraold.no","CAREX ECHINATA",17.748,0.33305,6.01415958570094,15.86833333,0.2032,0.201180309792085,74.3825589192535,0.267791208992325,0.352617426051805,-0.508863025962399,2234
"135",0.33333334,"cdpt_drt.us","CAREX FILIFOLIA",16.11,0.33528,6.34265566902942,10.8070203,0.254,0.181971429,107.557439,0.510912698,0.369783544448534,-0.422012098598206,473.964
"136",-1.625,"nplatte.us","CAREX FILIFOLIA",16.11,0.33528,6.35301455990427,10.8070203,0.254,0.181971429,107.557439,0.510912698,0.369872986168069,-0.630032754098361,305
"137",-3.25,"allmendo.ch","CAREX FLACCA",17.07498081,0.37125,4.956666667,14.32237516,0.83,0.380313725,218.7926062,0.155758253,0.585603591,-0.425284221525601,957
"138",0.125,"allmendb.ch","CAREX FLACCA",17.07498081,0.37125,4.956666667,14.32237516,0.83,0.380313725,218.7926062,0.155758253,0.585603591,-0.416706374085684,957
"139",-0.266666667,"falls.au","CAREX HEBES",11.51554545,0.095,5.67882500632196,19.09615385,0.434558746015028,0.243822323538365,59.306180787819,0.286932449745992,0.394504805398481,-0.776661031276416,2366
"140",0.25,"cowidrt.ca","CAREX INOPS",19.5881013144342,0.234119472272862,6.09462238586354,22.6,0.428146873195801,0.21983246002429,75.5267276133552,0.241840129939379,0.376441495923969,-0.450146972398589,1134
"141",-1.345,"konzadrt.us","CAREX INOPS",19.5868620141978,0.234178420011815,6.09346433801048,22.6,0.427077534151595,0.219126011037564,75.9777121151559,0.241704231694609,0.375726569943361,-0.460356263493976,830
"142",-0.666666667,"konzadrt.us","CAREX MEADII",19.185,0.2292,5.90987338188446,12.74334258,0.440915851629227,0.215297152606955,62.0778030841623,0.286569090576856,0.378922732377072,-0.460356263493976,830
"143",-2,"lygraint.no","CAREX NIGRA",24.40009307,0.388666667,6.648625922,20.2452221,0.56,0.2421,9.14,0.382955844904829,0.3725,-0.511951656222023,2234
