"","Taxon","site_code","mean.after.control.0","mean.after.drought.0","mean.before.control.0","mean.before.drought.0","drought.after.before","control.after.before","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"217","BROMUS STERILIS","cowidrt.ca",13,3.333333333,12,1.5,1.833333333,1,0.833333333,27.9,0.658333333,NA,30.5349098,1.5,NA,455.9545455,NA,"GRASS","ANNUAL","GRASS"
"218","BROMUS STERILIS","baddrt.de",0.1025,5,0,2,3,0.1025,2.8975,27.9,0.658333333,NA,30.5349098,1.5,NA,455.9545455,NA,"GRASS","ANNUAL","GRASS"
"219","BROMUS TECTORUM","oreac.us",0,1,0,0,1,0,1,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"GRASS","ANNUAL","GRASS"
"220","BROMUS TECTORUM","octc.us",0,0.1355014,0,0,0.1355014,0,0.1355014,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"GRASS","ANNUAL","GRASS"
"221","BROMUS TECTORUM","hard.us",2,5,0,0,5,2,3,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"GRASS","ANNUAL","GRASS"
"222","BROMUS TECTORUM","nplatte.us",6.333333333,14.14285714,13.2,40.33333333,-26.19047619,-6.866666667,-19.32380952,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"GRASS","ANNUAL","GRASS"
"223","BROMUS TECTORUM","nnss.us",4.38977668,0.882379229,0.965629738,1.142075,-0.259695771,3.424146943,-3.683842714,18.768,0.198681818,7.006735802,17.28496,0.90288,0.47,31.204325,0.57,"GRASS","ANNUAL","GRASS"
"375","CYNOSURUS ECHINATUS","scruzh.us",3.0769231,0,0,0,0,3.0769231,-3.0769231,37.42095333,0.475,NA,36.47575504,NA,NA,NA,0.602,"FORB","ANNUAL","GRASS"
"454","ERAGROSTIS DIELSII","credoj.au",1,0,5,15,-15,-4,-11,NA,0.3,NA,5.7,NA,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"455","ERAGROSTIS DIELSII","credom.au",1.25,0.5,10.5,1,-0.5,-9.25,8.75,NA,0.3,NA,5.7,NA,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"620","HORDEUM MURINUM","cobar.au",0,0,3,10,-10,-3,-7,31.1,0.405416667,NA,28.1259188,0.1,NA,204.9930273,0.217582152,"GRASS","ANNUAL","GRASS"
"621","HORDEUM MURINUM","spvdrt.ar",0,3,0,1,2,0,2,31.1,0.405416667,NA,28.1259188,0.1,NA,204.9930273,0.217582152,"GRASS","ANNUAL","GRASS"
"622","HORDEUM PUSILLUM","marcdrt.ar",1.5,1,2.333333333,1.666666667,-0.666666667,-0.833333333,0.166666667,26.18,0.36576,NA,32.4,0.2032,0.278984039,157.1579379,0.1830875,"GRASS","ANNUAL","GRASS"
"707","LOLIUM MULTIFLORUM","naposta.ar",0,0,0,1,-1,0,-1,29.26878304,0.533,17.31666667,25.47714286,0.2032,0.022,178.6858956,0.26045,"GRASS","ANNUAL","GRASS"
"709","LOLIUM PERENNE","scruzm.us",3.6458333,1.8181818,1.1904762,0,1.8181818,2.4553571,-0.6371753,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","ANNUAL","GRASS"
"710","LOLIUM PERENNE","scruzl.us",8.358448867,3.0194805,4,1,2.0194805,4.358448867,-2.338968367,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,"GRASS","ANNUAL","GRASS"
"794","PANICUM CAPILLARE","konzadrt.us",9,1.5,0,0,1.5,9,-7.5,17.0314031,0.43545,NA,27.43942379,0.62,0.14,218,0.1917,"GRASS","ANNUAL","GRASS"
"821","PENTASCHISTIS AIROIDES","jilpanger.au",0,0,0.5,0.5,-0.5,-0.5,0,NA,0.17,NA,29.666,NA,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"867","POA BULBOSA","oreac.us",2.666666667,0,0,0,0,2.666666667,-2.666666667,17.70666667,0.3224,10.49,21.09,0.2032,NA,NA,0.01366667,"GRASS","ANNUAL","GRASS"
"972","SCHISMUS BARBATUS","spvdrt.ar",2.333333333,1.333333333,1,1,0.333333333,1.333333333,-1,29.00293247,0.25,NA,18.21,0.16,NA,81.47,NA,"GRASS","ANNUAL","GRASS"
"973","SCHISMUS BARBATUS","gmmolar.us",1,0,23.42857143,24.71428571,-24.71428571,-22.42857143,-2.285714286,29.00293247,0.25,NA,18.21,0.16,NA,81.47,NA,"GRASS","ANNUAL","GRASS"
"974","SCHISMUS BARBATUS","gmgranite.us",3.142857143,3.714285714,68.85714286,65.71428571,-62,-65.71428571,3.714285714,29.00293247,0.25,NA,18.21,0.16,NA,81.47,NA,"GRASS","ANNUAL","GRASS"
"995","SECALE SYLVESTRE","kiskun.hu",0.0325,0.146,0.436666667,1.175,-1.029,-0.404166667,-0.624833333,NA,NA,NA,13.43,NA,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"1175","TRIPOGON LOLIIFORMIS","cobar.au",1.5,1,1,0,1,0.5,0.5,NA,0.15,NA,17.69,NA,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"1176","TRIPOGON LOLIIFORMIS","milparinka.au",0,0,1,0,0,-1,1,NA,0.15,NA,17.69,NA,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"1177","TRIPOGON LOLIIFORMIS","charleville.au",0,0,1,0,0,-1,1,NA,0.15,NA,17.69,NA,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"1178","TRIPOGON LOLIIFORMIS","quilpie.au",1,0,1.5,1,-1,-0.5,-0.5,NA,0.15,NA,17.69,NA,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"1179","TRIPOGON LOLIIFORMIS","brokenh.au",1,0,0,0,0,1,-1,NA,0.15,NA,17.69,NA,NA,NA,NA,"GRASS","ANNUAL","GRASS"
"1185","VENTENATA DUBIA","oreaa.us",5.8,8.75,1.3,2,6.75,4.5,2.25,NA,0.225,NA,20.5,NA,NA,NA,0.28,"GRASS","ANNUAL","GRASS"
"1186","VENTENATA DUBIA","oreac.us",3.833333333,1,2,0,1,1.833333333,-0.833333333,NA,0.225,NA,20.5,NA,NA,NA,0.28,"GRASS","ANNUAL","GRASS"
"1219","VULPIA BROMOIDES","spvdrt.ar",2,1,1.333333333,1,0,0.666666667,-0.666666667,17.77777778,0.2225,NA,20.86,0.4995,NA,417.75,0.2945,"GRASS","ANNUAL","GRASS"
"1220","VULPIA MICROSTACHYS","octc.us",0,0,0.17305365,0.7749216,-0.7749216,-0.17305365,-0.60186795,44.76684417,0.1525,NA,14.622,NA,NA,496.2265033,NA,"GRASS","ANNUAL","GRASS"
"1221","VULPIA MYUROS","jilpanger.au",0.5,0.5,0.5,1,-0.5,0,-0.5,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
"1222","VULPIA MYUROS","scruzl.us",31.55694768,22.72727275,6,6,16.72727275,25.55694768,-8.829674925,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
"1223","VULPIA MYUROS","scruzh.us",29.64858413,4.135648425,4.8543689,33.49501327,-29.35936484,24.79421523,-54.15358008,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
"1224","VULPIA MYUROS","baddrt.de",4.342857143,3.533333333,1.333333333,80,-76.46666667,3.00952381,-79.47619048,17.1507779,0.435733333,7.5,22.38333333,0.3048,0.044,268.91,NA,"GRASS","ANNUAL","GRASS"
"1225","VULPIA OCTOFLORA","nnss.us",0,0,0.2073287,0.13819435,-0.13819435,-0.2073287,0.06913435,19.49,0.127,NA,NA,0.18,0.243529486,437.3523058,0.11168,"GRASS","ANNUAL","GRASS"
"1226","VULPIA OCTOFLORA","capwhite.us",0.5,0,0,0.5,-0.5,0.5,-1,19.49,0.127,NA,NA,0.18,0.243529486,437.3523058,0.11168,"GRASS","ANNUAL","GRASS"
"1227","VULPIA OCTOFLORA","nplatte.us",0,2,0,0,2,0,2,19.49,0.127,NA,NA,0.18,0.243529486,437.3523058,0.11168,"GRASS","ANNUAL","GRASS"
