,site_code,Taxon,mean.after.control.0,mean.after.drought.0,mean.before.control.0,mean.before.drought.0,drought.after.before,control.after.before,cover.change
105,ayora.es,STIPA JUNCEA,6.8,1,0,0,1,6.8,-5.8
106,ayora.es,TEUCRIUM CAPITATUM,1.666666667,0,0,0,0,1.666666667,-1.666666667
107,ayora.es,THESIUM HUMIFUSUM,2,2,0,0,2,2,0
108,ayora.es,THYMUS VULGARIS,10,0,0,0,0,10,-10
109,ayora.es,ULEX PARVIFLORUS,41.5,26.66666667,0,0,26.66666667,41.5,-14.83333333
110,baddrt.de,ACER PLATANOIDES,2,0,0,0,0,2,-2
111,baddrt.de,APERA SPICA-VENTI,4.7625,9.366666667,1.775,7,2.366666667,2.9875,-0.620833333
112,baddrt.de,BROMUS HORDEACEUS,0.55,0.01,0,0.55,-0.54,0.55,-1.09
113,baddrt.de,BROMUS STERILIS,0.1025,5,0,2,3,0.1025,2.8975
114,baddrt.de,CIRSIUM ARVENSE,3.277777778,3.3,10.5,12.6,-9.3,-7.222222222,-2.077777778
115,baddrt.de,CREPIS BIENNIS,4.857142857,6.5,40.7,52,-45.5,-35.84285714,-9.657142857
116,baddrt.de,CREPIS CAPILLARIS,1.616666667,9,3.555555556,5.4,3.6,-1.938888889,5.538888889
117,baddrt.de,ECHINOPS SPHAEROCEPHALUS,0,0.2,0,0,0.2,0,0.2
118,baddrt.de,EPILOBIUM ANGUSTIFOLIUM,0,1.05,0,5,-3.95,0,-3.95
119,baddrt.de,EPILOBIUM TETRAGONUM,0.812,0.8,5.7,7,-6.2,-4.888,-1.312
120,baddrt.de,ERIGERON CANADENSIS,0.353333333,0,1,0,0,-0.646666667,0.646666667
121,baddrt.de,FESTUCA RUPICOLA,0.05,0,0,0,0,0.05,-0.05
122,baddrt.de,GALIUM APARINE,0.07,0.1,0.26,0.5,-0.4,-0.19,-0.21
123,baddrt.de,HYPERICUM PERFORATUM,0.2,0,0.5,0,0,-0.3,0.3
124,baddrt.de,HYPOCHAERIS RADICATA,0.2,1,0,0,1,0.2,0.8
125,baddrt.de,LEUCANTHEMUM VULGARE,0.8,0,0,0,0,0.8,-0.8
126,baddrt.de,LOLIUM PERENNE,0,0.05,0,0,0.05,0,0.05
127,baddrt.de,PICRIS HIERACIOIDES,63,48,33.7,23.2,24.8,29.3,-4.5
128,baddrt.de,PLANTAGO LANCEOLATA,0.05,0.3,0,0,0.3,0.05,0.25
129,baddrt.de,POA TRIVIALIS,1.403333333,0.01,2,0,0.01,-0.596666667,0.606666667
130,baddrt.de,PRUNUS AVIUM,0.3,0,0.5,0,0,-0.2,0.2
131,baddrt.de,RUMEX CRISPUS,5,0.5,7,0,0.5,-2,2.5
132,baddrt.de,SENECIO LEUCANTHEMIFOLIUS,0,0.01,0,0,0.01,0,0.01
133,baddrt.de,SOLIDAGO CANADENSIS,0.2,0.15,4.25,0,0.15,-4.05,4.2
134,baddrt.de,SONCHUS ASPER,0.35,1,2,2.125,-1.125,-1.65,0.525
135,baddrt.de,SONCHUS OLERACEUS,0.3275,0.1,0,0,0.1,0.3275,-0.2275
136,baddrt.de,TARAXACUM TARAXACUM,2.24,7.06,7.25,8.75,-1.69,-5.01,3.32
137,baddrt.de,TRAGOPOGON PRATENSIS,0.5,0,1,1,-1,-0.5,-0.5
138,baddrt.de,TRIPLEUROSPERMUM INODORUM,0.5,0,0.533333333,0.5,-0.5,-0.033333333,-0.466666667
139,baddrt.de,VICIA SATIVA,15,0,0,0,0,15,-15
140,baddrt.de,VULPIA MYUROS,4.342857143,3.533333333,1.333333333,80,-76.46666667,3.00952381,-79.47619048
141,bayrdrt.de,ACHILLEA MILLEFOLIUM,2,25,0,0,25,2,23
142,bayrdrt.de,ALOPECURUS PRATENSIS,43.75,53,0,0,53,43.75,9.25
143,bayrdrt.de,ARRHENATHERUM ELATIUS,24.42,30,0,0,30,24.42,5.58
144,bayrdrt.de,BETULA PENDULA,0.1,0,0,0,0,0.1,-0.1
145,bayrdrt.de,CERASTIUM FONTANUM,1.275,1.033333333,0,0,1.033333333,1.275,-0.241666667
146,bayrdrt.de,CYNOSURUS CRISTATUS,5,6.7,0,0,6.7,5,1.7
