"","site_code","Taxon","mean.before.control.0","mean.before.drought.0","mean.after.control.0","mean.after.drought.0","drought.after.before","control.after.before","cover.change"
"131","capwhite.us","PECTOCARYA HETEROCARPA",0.5,0.5,1.25,0,-0.5,0.75,-1.25
"132","capwhite.us","PECTOCARYA PLATYCARPA",0.5,0,1.25,0.5,0.5,0.75,-0.25
"133","capwhite.us","PECTOCARYA RECURVATA",0.5,0.875,0.5,0.5,-0.375,0,-0.375
"134","capwhite.us","PHYSARIA GORDONII",2.33333333333333,4.6,0.5,0.5,-4.1,-1.83333333333333,-2.26666666666667
"135","capwhite.us","PLANTAGO OVATA",1.42857142857143,2.85714285714286,9.5,4.57142857142857,1.71428571428571,8.07142857142857,-6.35714285714286
"136","capwhite.us","PLANTAGO PATAGONICA",0.714285714285714,0.583333333333333,1.5,1,0.416666666666667,0.785714285714286,-0.369047619047619
"137","capwhite.us","SCHISMUS ARABICUS",24.7142857142857,32,35.7142857142857,7.71428571428571,-24.2857142857143,11,-35.2857142857143
"138","capwhite.us","VULPIA OCTOFLORA",0,0.5,0.5,0,-0.5,0.5,-1
"139","cdpt_drt.us","ARISTIDA PURPUREA",0,5,6,4.33333333333333,-0.666666666666667,6,-6.66666666666667
"140","cdpt_drt.us","ARTEMISIA FILIFOLIA",4.5,0,8,0,0,3.5,-3.5
"141","cdpt_drt.us","ARTEMISIA FRIGIDA",6.2,12.5,4.66666666666667,11.5,-1,-1.53333333333333,0.533333333333334
"142","cdpt_drt.us","BOUTELOUA GRACILIS",11.6666666666667,10.6666666666667,15,12.8333333333333,2.16666666666667,3.33333333333333,-1.16666666666667
"143","cdpt_drt.us","BROMUS JAPONICUS",5.5,1,2,4,3,-3.5,6.5
"144","cdpt_drt.us","BUCHLOE DACTYLOIDES",2,0,1,0,0,-1,1
"145","cdpt_drt.us","CAREX FILIFOLIA",20.1666666666667,20.5,18.5,19.1666666666667,-1.33333333333333,-1.66666666666667,0.333333333333336
"146","cdpt_drt.us","COREOPSIS TINCTORIA",2,1.75,3.5,2.25,0.5,1.5,-1
"147","cdpt_drt.us","DALEA ENNEANDRA",0.5,0,0.5,0,0,0,0
"148","cdpt_drt.us","DICHANTHELIUM OLIGOSANTHES",1.25,2,3,0.5,-1.5,1.75,-3.25
"149","cdpt_drt.us","ESCOBARIA VIVIPARA",0.3,0.5,0.18,0,-0.5,-0.12,-0.38
