"","Taxon","site_code","mean.before.control.0","mean.before.drought.0","mean.after.control.0","mean.after.drought.0","drought.after.before","control.after.before","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"227","DIPLOTAXIS TENUIFOLIA","naposta.ar",2.333333333,1,5,5.333333333,4.333333333,2.666666667,1.666666667,NA,0.575,NA,22.45,NA,NA,NA,NA,"FORB","BIENNIAL","FORB"
"228","DROSERA ABERRANS","jilpanger.au",1.625,0.5,0.5,0,-0.5,-1.125,0.625,NA,0.03,NA,10.411994,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"229","ECHIUM VULGARE","allmendb.ch",0,1.75,0.25,0.375,-1.375,0.25,-1.625,23.6,0.716666667,NA,14.45,NA,NA,NA,0.385,"FORB","PERENNIAL","FORB"
"240","EPILOBIUM ANGUSTIFOLIUM","baddrt.de",0,5,0,1.05,-3.95,0,-3.95,26.69696541,1.0483,NA,19.77553761,0.627,NA,261.095,NA,"FORB","PERENNIAL","FORB"
"241","EPILOBIUM BRACHYCARPUM","oreaa.us",0.8,1,1.5,0.9,-0.1,0.7,-0.8,30.48666667,0.286,10.95816314,21.56584,NA,NA,81.71053333,NA,"FORB","ANNUAL","FORB"
"242","EPILOBIUM BRACHYCARPUM","oreac.us",2.5,1.5,1.5,1.5,0,-1,1,30.48666667,0.286,10.95816314,21.56584,NA,NA,81.71053333,NA,"FORB","ANNUAL","FORB"
"243","EPILOBIUM TETRAGONUM","baddrt.de",5.7,7,0.812,0.8,-6.2,-4.888,-1.312,29.10047423,0.720833333,NA,15.9,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"244","EQUISETUM ARVENSE","teshio.jp",1,4,4,5.5,1.5,3,-1.5,20.06733732,0.344317143,NA,13.18450744,0.2262,NA,89.07333333,NA,"FORB","PERENNIAL","FORB"
"245","EQUISETUM ARVENSE","elvadrt.ee",2,1.666666667,1,1.333333333,-0.333333333,-1,0.666666667,20.06733732,0.344317143,NA,13.18450744,0.2262,NA,89.07333333,NA,"FORB","PERENNIAL","FORB"
"251","ERIGERON ANNUUS","esw.ca",1,1,1,1,0,0,0,13.87251282,0.790891667,NA,23.37334387,1.02,0.32875817,62.7520477,0.25,"FORB","ANNUAL","FORB"
"252","ERIGERON CANADENSIS","baddrt.de",1,0,0.353333333,0,0,-0.646666667,0.646666667,27.5,0.676,NA,21.20435157,1.09,0.09,119,0.35,"FORB","ANNUAL","FORB"
"255","ERODIUM AUREUM","credom.au",0.5,0.5,0.5,0,-0.5,0,-0.5,NA,0.18299289,NA,38.098939,NA,NA,NA,NA,"FORB","BIENNIAL","FORB"
"256","ERODIUM AUREUM","credoj.au",0.5,0,0.5,0,0,0,0,NA,0.18299289,NA,38.098939,NA,NA,NA,NA,"FORB","BIENNIAL","FORB"
"257","ERODIUM CICUTARIUM","spvdrt.ar",1,0,2,1,1,1,0,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,"FORB","ANNUAL","FORB"
"258","ERODIUM CICUTARIUM","gmmolar.us",4.285714286,4.928571429,1.928571429,3.928571429,-1,-2.357142857,1.357142857,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,"FORB","ANNUAL","FORB"
"259","ERODIUM CICUTARIUM","gmgranite.us",3.142857143,2.428571429,2.142857143,6.714285714,4.285714286,-1,5.285714286,34.47666667,0.0275,11.48,28.8428,0.5,0.43626943,71.7331,0.1243,"FORB","ANNUAL","FORB"
"260","ESCHSCHOLZIA CALIFORNICA","scruzm.us",2.27999152,2.15223665,7.29629878,4.350330267,2.198093617,5.01630726,-2.818213643,30.69230769,0.405253333,NA,27.92808564,0.254,0.015053333,527.2,0.24385,"FORB","PERENNIAL","FORB"
"261","EUPHORBIA ALBOMARGINATA","gmmolar.us",0,0.5,0,0.5,0,0,0,NA,0.05,NA,12.64955294,0.83,NA,12.13448,0.09,"FORB","PERENNIAL","FORB"
"262","EUPHORBIA CYPARISSIAS","allmendb.ch",0,3.25,0.25,2,-1.25,0.25,-1.5,29,0.2375,8.96,23.6,0.89,0.411,6.34,0.699,"FORB","PERENNIAL","FORB"
"263","EUPHORBIA CYPARISSIAS","allmendo.ch",2.25,0.25,2.25,1.75,1.5,0,1.5,29,0.2375,8.96,23.6,0.89,0.411,6.34,0.699,"FORB","PERENNIAL","FORB"
"264","EUPHORBIA DRUMMONDII","credoj.au",0.5,0,0,0.5,0.5,-0.5,1,NA,0.1276,NA,12.13032804,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"265","EUPHORBIA DRUMMONDII","credom.au",0,0.5,0.5,0.5,0,0.5,-0.5,NA,0.1276,NA,12.13032804,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"266","EUPHORBIA SEGUIERIANA","kiskun.hu",5,3.102,1.2,3,-0.102,-3.8,3.698,NA,0.425,NA,18.4,1.6675,NA,NA,NA,"FORB","PERENNIAL","FORB"
"267","EUPHRASIA MINIMA","passogavia.it",0.1125,0.023333333,0.0125,0.01,-0.013333333,-0.1,0.086666667,26.868,0.108,NA,17.10079827,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"268","EUTHAMIA GRAMINIFOLIA","cedarsav.us",5.5,8,4.333333333,4,-4,-1.166666667,-2.833333333,19.4891582,0.798,NA,12.04198841,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"269","EUTHAMIA GRAMINIFOLIA","purdue.us",6.375,3.333333333,13,25,21.66666667,6.625,15.04166667,19.4891582,0.798,NA,12.04198841,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"283","FRAGARIA VESCA","elvadrt.ee",14.33333333,12.5,14,12.33333333,-0.166666667,-0.333333333,0.166666667,16.48863464,0.136111111,NA,24.4032544,0.25,0.351086957,312.2441806,0.1112,"FORB","PERENNIAL","FORB"
"284","FUMANA PROCUMBENS","kiskun.hu",7,4,6.833333333,3.25,-0.75,-0.166666667,-0.583333333,16,0.15,NA,8.22,0.28,NA,NA,NA,"FORB","PERENNIAL","FORB"
"286","GALIUM APARINE","cowidrt.ca",1,2.5,1,1,-1.5,0,-1.5,30.3875,0.765787211,17.66740825,34.58771111,0.1016,0.246153846,342.4265529,0.153183334,"FORB","ANNUAL","FORB"
"287","GALIUM APARINE","baddrt.de",0.26,0.5,0.07,0.1,-0.4,-0.19,-0.21,30.3875,0.765787211,17.66740825,34.58771111,0.1016,0.246153846,342.4265529,0.153183334,"FORB","ANNUAL","FORB"
"288","GALIUM BOREALE","kernb.ca",5,0,8,0.5,0.5,3,-2.5,18.80683333,0.37,10,22.71017578,0.1524,0.315984509,172.8382766,0.1779,"FORB","PERENNIAL","FORB"
