"","site_code","Taxon","mean.before.control","mean.before.drought","mean.after.control","mean.after.drought"
"54","allmendo.ch","HELICTOTRICHON PRATENSE",1.75,3.83333333333333,1.08333333333333,3.75
"55","allmendo.ch","HIPPOCREPIS COMOSA",6.66666666666667,4.16666666666667,5.33333333333333,2.83333333333333
"56","allmendo.ch","LEONTODON HISPIDUS",0.5,0.5,NA,NA
"57","allmendo.ch","LINUM CATHARTICUM",5.41666666666667,6.25,2.08333333333333,1.66666666666667
"58","allmendo.ch","LOTUS CORNICULATUS",0.75,0.25,0.625,0.375
"59","allmendo.ch","PIMPINELLA SAXIFRAGA",1.91666666666667,2.25,2.33333333333333,2.16666666666667
"60","allmendo.ch","PLANTAGO LANCEOLATA",0.416666666666667,0.25,0.75,0.75
"61","allmendo.ch","POLYGALA VULGARIS",NA,0.25,0.375,0.5
"62","allmendo.ch","POTENTILLA GRANDIFLORA",1.75,0.416666666666667,5.25,3.25
"63","allmendo.ch","PRUNELLA VULGARIS",5.75,6.25,7.91666666666667,4.16666666666667
"64","allmendo.ch","RHINANTHUS MINOR",2.33333333333333,3.41666666666667,1.08333333333333,0.833333333333333
"65","allmendo.ch","SALVIA PRATENSIS",NA,2.625,0.5,3.875
"66","allmendo.ch","SANGUISORBA MINOR",NA,0.5,NA,0.5
"67","allmendo.ch","SCABIOSA COLUMBARIA",0.416666666666667,1,0.25,1.625
"68","allmendo.ch","TEUCRIUM CHAMAEDRYS",2.08333333333333,1.25,3.83333333333333,2.58333333333333
"69","allmendo.ch","TEUCRIUM MONTANUM",3.5,0.5,7.25,NA
"70","allmendo.ch","THYMUS SERPYLLUM",1,0.416666666666667,1.5,1.83333333333333
"71","allmendo.ch","TRIFOLIUM MONTANUM",1.08333333333333,0.25,0.666666666666667,0.5
"72","baddrt.de","ACER PSEUDOPLATANUS",1,NA,NA,NA
"73","baddrt.de","APERA SPICA-VENTI",1.775,7,4.7625,9.36666666666667
"74","baddrt.de","ATRIPLEX PROSTRATA",NA,0.5,NA,NA
"75","baddrt.de","BROMUS HORDEACEUS",NA,0.55,0.55,0.01
"76","baddrt.de","BROMUS STERILIS",NA,2,0.1025,5
"77","baddrt.de","CARDUUS CRISPUS",1,1.5,NA,NA
"78","baddrt.de","CIRSIUM ARVENSE",10.5,12.6,3.27777777777778,3.3
"79","baddrt.de","CREPIS BIENNIS",40.7,52,4.85714285714286,6.5
"80","baddrt.de","CREPIS CAPILLARIS",3.55555555555556,5.4,1.61666666666667,9
"81","baddrt.de","EPILOBIUM ANGUSTIFOLIUM",NA,5,NA,1.05
"82","baddrt.de","EPILOBIUM TETRAGONUM",5.7,7,0.812,0.8
"83","baddrt.de","ERIGERON CANADENSIS",1,NA,0.353333333333333,NA
"84","baddrt.de","FALLOPIA CONVOLVULUS",0.1,0.5,NA,NA
"85","baddrt.de","GALIUM APARINE",0.26,0.5,0.07,0.1
"86","baddrt.de","GEUM URBANUM",NA,0.5,NA,NA
"87","baddrt.de","HYPERICUM PERFORATUM",0.5,NA,0.2,NA
"88","baddrt.de","PAPAVER RHOEAS",0.5,NA,NA,NA
"89","baddrt.de","PICRIS HIERACIOIDES",33.7,23.2,63,48
"90","baddrt.de","POA TRIVIALIS",2,NA,1.40333333333333,0.01
"91","baddrt.de","PRUNUS AVIUM",0.5,NA,0.3,NA
"92","baddrt.de","RUMEX CRISPUS",7,NA,5,0.5
"93","baddrt.de","SOLIDAGO CANADENSIS",4.25,NA,0.2,0.15
"94","baddrt.de","SONCHUS ASPER",2,2.125,0.35,1
"95","baddrt.de","TARAXACUM TARAXACUM",7.25,8.75,2.24,7.06
"96","baddrt.de","TRAGOPOGON PRATENSIS",1,1,0.5,NA
"97","baddrt.de","TRIPLEUROSPERMUM INODORUM",0.533333333333333,0.5,0.5,NA
"98","baddrt.de","VERONICA PERSICA",NA,0.1,NA,NA
"99","baddrt.de","VICIA SEPIUM",4,NA,NA,NA
"100","baddrt.de","VULPIA MYUROS",1.33333333333333,80,4.34285714285714,3.53333333333333
"101","biddulph.ca","ARTEMISIA FRIGIDA",3,1,5,2
"102","biddulph.ca","ARTEMISIA LUDOVICIANA",NA,0.75,NA,1
"103","biddulph.ca","CIRSIUM ARVENSE",NA,0.5,NA,NA
"104","biddulph.ca","FESTUCA ALTAICA",0.666666666666667,2.16666666666667,2,0.5
"105","biddulph.ca","HETEROTHECA VILLOSA",NA,3,NA,NA
"106","biddulph.ca","LYGODESMIA JUNCEA",NA,1,0.75,NA
"107","biddulph.ca","PHLOX HOODII",NA,0.5,NA,NA
"108","biddulph.ca","PSORALEA LANCEOLATA",1.5,2,6.5,11
"109","biddulph.ca","ROSA ARKANSANA",3,1,8,1
"110","biddulph.ca","SOLIDAGO MISSOURIENSIS",5,NA,8,NA
"111","biddulph.ca","STIPA COMATA",3.5,5.5,12.5,14.5
"112","brokenh.au","ACTINOBOLE ULIGINOSUM",4.33333333333333,3,NA,NA
"113","brokenh.au","ALTERNANTHERA SESSILIS",1.5,1,NA,NA
"114","brokenh.au","CRASSULA COLORATA",1,1,NA,NA
"115","brokenh.au","DAUCUS GLOCHIDIATUS",1,NA,NA,NA
"116","brokenh.au","GOODENIA CYCLOPTERA",1,2,NA,NA
"117","brokenh.au","HARMSIODOXA BREVIPES",1,NA,NA,NA
"118","brokenh.au","HYPOCHAERIS RADICATA",1,NA,NA,NA
"119","brokenh.au","LEMOORIA BURKITTII",3,12.5,NA,NA
"120","brokenh.au","MAIREANA PYRAMIDATA",30,NA,12,NA
"121","brokenh.au","RHODANTHE PYGMAEA",2.66666666666667,3.66666666666667,NA,NA
"122","brokenh.au","SCLEROLAENA DIACANTHA",1,1,1,1
"123","brokenh.au","SOLANUM ELLIPTICUM",2,2,1,1
"124","brokenh.au","THYRIDOLEPIS MITCHELLIANA",1,2.33333333333333,NA,NA
"125","brookdale.ca","ACHILLEA MILLEFOLIUM",5,5,1,1.5
"126","brookdale.ca","AGASTACHE FOENICULUM",NA,8.333333333,NA,1.5
"127","brookdale.ca","ALLIUM CERNUUM",5,NA,1,NA
"128","brookdale.ca","ANDROPOGON GERARDII",19.833333334,9,2.875,2.611111111
"129","brookdale.ca","ANEMONASTRUM CANADENSE",6.94444444433333,9.16666666666667,2,2.4375
"130","brookdale.ca","ARTEMISIA LUDOVICIANA",12,9.1666666666,1.25,1.95
"131","brookdale.ca","BROMUS INERMIS",9.6666666666,11.25,3.1,3.65
"132","brookdale.ca","CAMPANULA ROTUNDIFOLIA",5,NA,NA,NA
"133","brookdale.ca","CERASTIUM ARVENSE",15,20,NA,NA
"134","brookdale.ca","CIRSIUM ARVENSE",17.666666666,17.5,1.9,2.1333333332
"135","brookdale.ca","CYPRIPEDIUM PARVIFLORUM",5,5,1.25,1
"136","brookdale.ca","GALIUM BOREALE",6.5,6.5,1.2833333334,1.3333333334
"137","brookdale.ca","GLYCYRRHIZA LEPIDOTA",25.166666666,18.5,4.35,3.75
"138","brookdale.ca","HELIOPSIS HELIANTHOIDES",16.875,11,NA,2
"139","brookdale.ca","LATHYRUS PALUSTRIS",5,5,NA,NA
"140","brookdale.ca","LATHYRUS VENOSUS",NA,12.5,NA,NA
"141","brookdale.ca","POA PRATENSIS",66,61,6.55,6.25
"142","brookdale.ca","ROSA ACICULARIS",8.6666666666,8.5,1.5166666666,1.5666666666
"143","brookdale.ca","SOLIDAGO CANADENSIS",27,30,2.4,2.9
"144","brookdale.ca","SOLIDAGO RIGIDA",5,5,2.5,1.5
"145","brookdale.ca","SONCHUS ASPER",12.3333333332,12.5,NA,NA
"146","brookdale.ca","STIPA SPARTEA",NA,5,NA,NA
"147","brookdale.ca","SYMPHORICARPOS OCCIDENTALIS",17.5,13,NA,NA
"148","brookdale.ca","THALICTRUM VENULOSUM",5,6.66666666666667,1,1.75
"149","brookdale.ca","VICIA AMERICANA",5,5,1,1
"150","brookdale.ca","ZIZIA APTERA",5,5,2,1
"151","capmcd.us","AMBROSIA DELTOIDEA",0.5,0.5,NA,NA
"152","capmcd.us","CALANDRINIA CILIATA",0.5,0.5,NA,NA
