"genusTNRS","speciesTNRS","traitName","entriesStudySite","meanSpecies","medianSpecies","firstQuantile","thirdQuantile"
"Acacia","melanoxylon","Root_N_concentration",2,33.84,33.84,33.81,33.87
"Acacia","melanoxylon","Specific_root_respiration",1,25.35056707,25.35056707,25.35056707,25.35056707
"Acacia","mellifera","Root_mass_fraction",1,0.245,0.245,0.245,0.245
"Acacia","neovernicosa","Coarse_root_fine_root_mass_ratio",1,12.3333333333333,12.3333333333333,12.3333333333333,12.3333333333333
"Acacia","neovernicosa","Root_mass_fraction",1,0.4969289045,0.4969289045,0.4969289045,0.4969289045
"Acacia","neovernicosa","Specific_root_length",1,77.309419658,77.309419658,77.309419658,77.309419658
"Acacia","nigrescens","Root_mass_fraction",1,0.466,0.466,0.466,0.466
"Acacia","nigrescens","Rooting_depth",3,0.9,0.8,0.75,1
"Acacia","nilotica","Root_K_concentration",1,2.4,2.4,2.4,2.4
"Acacia","nilotica","Root_mass_fraction",5,0.3628,0.354,0.26,0.355
"Acacia","nilotica","Root_mycorrhizal colonization",1,58.54,58.54,58.54,58.54
"Acacia","nilotica","Root_N_concentration",1,17.8,17.8,17.8,17.8
"Acacia","nilotica","Root_P_concentration",1,1.1,1.1,1.1,1.1
"Acacia","nilotica","Root_production",1,106,106,106,106
"Acacia","nilotica","Root_turnover_rate",1,0.56,0.56,0.56,0.56
"Acacia","polyacantha","Rooting_depth",1,2.9,2.9,2.9,2.9
"Acacia","robusta","Rooting_depth",1,0.9,0.9,0.9,0.9
"Acacia","salicina","Root_mass_fraction",1,0.496,0.496,0.496,0.496
"Acacia","saligna","Root_C_concentration",1,362.11,362.11,362.11,362.11
"Acacia","saligna","Root_mass_fraction",4,0.383672104041667,0.37151087475,0.357266312125,0.397916666666667
"Acacia","saligna","Root_N_concentration",1,38.85,38.85,38.85,38.85
"Acacia","saligna","Root_production",1,9.3,9.3,9.3,9.3
"Acacia","saligna","Root_turnover_rate",2,1.3292857145,1.3292857145,1.32892857175,1.32964285725
"Acacia","seyal","Rooting_depth",1,1.5,1.5,1.5,1.5
"Acacia","shirleyi","Root_mass_fraction",2,0.1245,0.1245,0.12175,0.12725
"Acacia","sieberiana","Root_mass_fraction",2,0.6285,0.6285,0.62025,0.63675
"Acacia","sieberiana","Rooting_depth",1,3.6,3.6,3.6,3.6
"Acacia","tetragonophylla","Root_C_concentration",1,366.82,366.82,366.82,366.82
"Acacia","tetragonophylla","Root_mass_fraction",2,0.29926045775,0.29926045775,0.298890686625,0.299630228875
"Acacia","tetragonophylla","Root_N_concentration",1,34.39,34.39,34.39,34.39
"Acacia","tortilis","Root_mass_fraction",3,0.430166666666667,0.438,0.41275,0.4515
"Acacia","tortilis","Rooting_depth",3,10,3.5,2.5,14.25
"Acaena","magellanica","Root_production",1,500,500,500,500
"Acaena","magellanica","Root_turnover_rate",2,0.064212344,0.064212344,0.064106172,0.064318516
"Acaena","novae-zelandiae","Lateral_spread",1,13,13,13,13
"Acalypha","fruticosa","Root_mycorrhizal colonization",1,30.89,30.89,30.89,30.89
"Acalypha","indica","Root_mycorrhizal colonization",1,40.53,40.53,40.53,40.53
"Acalypha","lanceolata","Root_mycorrhizal colonization",1,57.47,57.47,57.47,57.47
"Acalypha","virginica","Rooting_depth",1,0.02,0.02,0.02,0.02
"Acalypha","wilkesiana","Root_mycorrhizal colonization",1,0,0,0,0
"Acamptopappus","shockleyi","Rooting_depth",1,0.4,0.4,0.4,0.4
"Acamptopappus","sphaerocephalus","Rooting_depth",1,1,1,1,1
"Acanthophyllum","elatius","Root_mycorrhizal colonization",2,0,0,0,0
"Acanthophyllum","korolkowii","Root_mycorrhizal colonization",1,0,0,0,0
"Acanthophyllum","krascheninnikovii","Root_mycorrhizal colonization",1,0,0,0,0
"Acanthosicyos","horridus","Root_N_concentration",1,16.32,16.32,16.32,16.32
"Acanthosicyos","horridus","Root_N_P_ratio",1,11.3728223,11.3728223,11.3728223,11.3728223
"Acanthosicyos","horridus","Root_P_concentration",1,1.435,1.435,1.435,1.435
"Acanthosicyos","horridus","Rooting_depth",1,4.75,4.75,4.75,4.75
"Acanthyllis","tragacanthoides","Rooting_depth",1,0.3,0.3,0.3,0.3
"Acer","barbinerve","Mean_Root_diameter",1,0.2523,0.2523,0.2523,0.2523
"Acer","barbinerve","Root_C_concentration",1,505.769352,505.769352,505.769352,505.769352
"Acer","barbinerve","Root_C_N_ratio",1,23.22415172,23.22415172,23.22415172,23.22415172
"Acer","barbinerve","Root_N_concentration",1,21.777732,21.777732,21.777732,21.777732
"Acer","barbinerve","Root_tissue_density",1,0.152828829,0.152828829,0.152828829,0.152828829
"Acer","barbinerve","Specific_root_length",1,143.6789729,143.6789729,143.6789729,143.6789729
"Acer","buergerianum","Root_mass_fraction",1,0.18,0.18,0.18,0.18
"Acer","buergerianum","Root_mycorrhizal colonization",1,100,100,100,100
"Acer","buergerianum","Root_N_concentration",1,22.965,22.965,22.965,22.965
"Acer","campbellii","Mean_Root_diameter",1,0.18975,0.18975,0.18975,0.18975
"Acer","campbellii","Root_C_concentration",1,588.3183837,588.3183837,588.3183837,588.3183837
"Acer","campbellii","Root_C_N_ratio",1,50.63731202,50.63731202,50.63731202,50.63731202
"Acer","campbellii","Root_N_concentration",1,11.635052,11.635052,11.635052,11.635052
"Acer","campbellii","Root_tissue_density",1,0.455,0.455,0.455,0.455
"Acer","campbellii","Specific_root_length",1,79.07241758,79.07241758,79.07241758,79.07241758
"Acer","campestre","Mean_Root_diameter",8,0.824716,0.680349,0.524161775,0.930334175
"Acer","campestre","Root_branching_density",1,8.5,8.5,8.5,8.5
"Acer","campestre","Root_branching_ratio",1,2.41,2.41,2.41,2.41
"Acer","campestre","Root_C_N_ratio",1,27.11,27.11,27.11,27.11
"Acer","campestre","Root_lifespan_mean",1,620.925,620.925,620.925,620.925
"Acer","campestre","Root_lignin_concentration",5,73.113404652,76.39959245,75.06576699,77.2347735
"Acer","campestre","Root_mass_fraction",1,0.093980999,0.093980999,0.093980999,0.093980999
"Acer","campestre","Root_mycorrhizal colonization",2,81,81,71.5,90.5
"Acer","campestre","Root_N_concentration",1,12.54,12.54,12.54,12.54
"Acer","campestre","Root_stele_diameter",2,765.625,765.625,617.1875,914.0625
"Acer","campestre","Root_stele_fraction",2,0.2695562565,0.2695562565,0.19850507525,0.34060743775
"Acer","campestre","Root_tissue_density",1,0.28,0.28,0.28,0.28
"Acer","campestre","Specific_root_area",1,405.45,405.45,405.45,405.45
"Acer","campestre","Specific_root_length",6,9.32639548166667,5.7672351815,3.60779106525,8.334781864
"Acer","cappadocicum","Root_mycorrhizal colonization",1,80,80,80,80
"Acer","cappadocicum","Root_production",1,621,621,621,621
"Acer","cappadocicum","Root_turnover_rate",1,0.091728213,0.091728213,0.091728213,0.091728213
"Acer","caudatum","Mean_Root_diameter",1,0.2359,0.2359,0.2359,0.2359
"Acer","caudatum","Root_C_concentration",1,434.9163733,434.9163733,434.9163733,434.9163733
"Acer","caudatum","Root_C_N_ratio",1,19.88677929,19.88677929,19.88677929,19.88677929
"Acer","caudatum","Root_N_concentration",1,21.870897,21.870897,21.870897,21.870897
"Acer","caudatum","Root_tissue_density",1,0.26,0.26,0.26,0.26
"Acer","caudatum","Specific_root_length",1,87.39493519,87.39493519,87.39493519,87.39493519
"Acer","coriaceifolium","Mean_Root_diameter",1,0.29,0.29,0.29,0.29
"Acer","coriaceifolium","Root_C_concentration",1,403.4,403.4,403.4,403.4
"Acer","coriaceifolium","Root_C_N_ratio",1,29.02158273,29.02158273,29.02158273,29.02158273
"Acer","coriaceifolium","Root_N_concentration",1,13.9,13.9,13.9,13.9
"Acer","coriaceifolium","Root_tissue_density",1,0.19,0.19,0.19,0.19
"Acer","coriaceifolium","Specific_root_length",1,93.25,93.25,93.25,93.25
"Acer","davidii","Mean_Root_diameter",3,0.388548265333333,0.4298715368,0.3585482684,0.439209898
"Acer","davidii","Root_branching_ratio",1,4.6875,4.6875,4.6875,4.6875
"Acer","davidii","Root_C_concentration",1,537.7803427,537.7803427,537.7803427,537.7803427
"Acer","davidii","Root_C_N_ratio",1,39.58749698,39.58749698,39.58749698,39.58749698
"Acer","davidii","Root_cortex_thickness",1,94.9781981833333,94.9781981833333,94.9781981833333,94.9781981833333
"Acer","davidii","Root_mycorrhizal colonization",1,100,100,100,100
"Acer","davidii","Root_N_concentration",2,14.353626,14.353626,13.940439,14.766813
"Acer","davidii","Root_stele_diameter",1,292.16613894,292.16613894,292.16613894,292.16613894
"Acer","davidii","Root_stele_fraction",1,0.4462681184,0.4462681184,0.4462681184,0.4462681184
"Acer","davidii","Root_tissue_density",2,0.2967007123,0.2967007123,0.25332396015,0.34007746445
"Acer","davidii","Specific_root_length",2,59.5239789181,59.5239789181,52.10196490715,66.94599292905
"Acer","fabri","Mean_Root_diameter",3,0.188826666666667,0.18574,0.18574,0.19037
"Acer","fabri","Root_branching_ratio",1,1.65,1.65,1.65,1.65
"Acer","fabri","Root_C_concentration",2,458.98,458.98,437.99,479.97
"Acer","fabri","Root_C_N_ratio",2,26.56562135,26.56562135,23.604592855,29.526649845
"Acer","fabri","Root_cortex_thickness",1,86.94,86.94,86.94,86.94
"Acer","fabri","Root_mycorrhizal colonization",1,65,65,65,65
