Taxon,leafN.mg.g,height.m,rootN.mg.g,SLA_m2/kg,root.depth_m,RTD.g.cm3,SRL_m/g,rootDiam.mm,Notes,Notes.2,site_name,Family,local_lifeform,local_lifespan,functional_group,,,,
ADESMIA LOTOIDES,,,,,0.4,,,,,,JRN_Chihuahuan,Compositae,FORB,PERENNIAL,FORB,,,,
AFROASTER HISPIDA,,,,,,,,,,,Ukulinga Drought,Compositae,FORB,PERENNIAL,FORB,,,,
AGASTACHE FOENICULUM,14.7,,,15.29,0.124,0.18,56.33396667,0.42,"diam, RTD, depth, SRL from Groot",,Ukulinga Drought,Compositae,FORB,PERENNIAL,FORB,,,,
AGOSERIS GLAUCA,17.172,0.1183,8.85,19.71405909,0.1524,0.12631018,56.33396327,,"SLR, rootC, and Root N from Groot",,"Biddulph, Kernen_unburned, Matador",Compositae,FORB,PERENNIAL,FORB,,,,
AGRIMONIA EUPATORIA,14.78,0.087,14.78,13.66,1.55,0.1143,,,"leafN, SLA, height PI data",,"Allmend Brachy, EE Elva, Jena, Rhijnauwen",Rosaceae,FORB,PERENNIAL,FORB,,,,
AGROSTIS CANINA,20.86288625,0.4223,9.3,33.1583154,0.254,,,0.15,,,"Lygra_intermediate, Lygra_old",Poaceae,GRASS,NULL,GRASS,,,,
AGROSTIS CAPILLARIS,27.65006595,0.393022873,8.907142857,29.44748071,0.3048,0.230872486,141.2639378,0.128571429,"RTD, SRL from Groot",,"Bayreuth_DroughtNet, Lygra_intermediate, Pineta",Poaceae,GRASS,PERENNIAL,GRASS,,,,
AGROSTIS INCONSPICUA,,,,,,,,,,,Potrok Aike Drt,Poaceae,GRASS,PERENNIAL,GRASS,,,,
AGROSTIS MONTEVIDENSIS,,0.229358974,,12,,,,,,,Mar Chiquita Drt,Poaceae,FORB,PERENNIAL,GRASS,,,,
AGROSTIS RUPESTRIS,17,0.035,,15.5,,,,,,,Passo Gavia,Poaceae,GRASS,PERENNIAL,GRASS,,,,
AGROSTIS SCABRA,8.00326776,0.274,12.3048825,9.409573332,0.3048,0.2,109,0.21,"Diam, RootN, RTD, SRL from Groot",,"Cedar Creek Trait, Kernen_burned, Kernen_unburned, Kinsella, Mattheis",Poaceae,GRASS,PERENNIAL,GRASS,,,,
AGROSTIS STOLONIFERA,31.5111841,0.414942857,6.2,31.65060428,0.3048,0.212659866,353.7043306,0.1,"RTD, SRL from Groot",,"Cedar Creek Trait, EE Elva",Poaceae,GRASS,PERENNIAL,GRASS,,,,
AGROSTIS VENUSTA,,0.1,,,,,,,,,Falls Creek,Poaceae,GRASS,PERENNIAL,GRASS,,,,
AIRA CARYOPHYLLEA,19.9,0.155,,21.08,,,,0.21,,,"Cowichan Drt, La Campana North Facing, La Campana South Facing, SantaCruzHigh",Poaceae,GRASS,ANNUAL,GRASS,,,,
AIRA ELEGANTISSIMA,,0.45,,25.838354,0.066,,760.85,0.228,"Diam,Depth,SRL from Groot",,Jilpanger,Poaceae,GRASS,ANNUAL,GRASS,,,,
ALCHEMILLA IDAEUS,,,,,,,,,,,Purdue Wildlife Area,Rosaceae,SHRUB,NULL,WOODY,,,,
ALCHEMILLA PENTAPHYLLEA,37,0.07,,21,,,,,,,Passo Gavia,Rosaceae,FORB,PERENNIAL,FORB,,,height from Carmona et al. 2021 Sci Adv.,
ALLIONIA INCARNATA,,0.4,,21.88917424,0.4,,10.31,0.665,RTD from sevilleta,,"Los Cerrillos, Sevilleta_Black",Nyctaginaceae,FORB,PERENNIAL,FORB,,,,
ALLIUM ACUMINATUM,,0.3048,,8.45,0.1524,,,1.64,,,ORE IDE AA,Amaryllidaceae,FORB,PERENNIAL,FORB,,,,
ALLIUM CERNUUM,45.1745,,,6.843,,,,,,,Brookdale,Amaryllidaceae,FORB,PERENNIAL,FORB,,,leafN from Komastu et al. 2023 EDI,
ALLIUM NEAPOLITANUM,,0.575,,,,,,,,,Las Chilcas Drt,Amaryllidaceae,FORB,PERENNIAL,FORB,,,,
ALOPECURUS PRATENSIS,23.8325776,0.806266667,9.698958476,27.30021588,0.3048,0.069943613,230.6921222,0.305414955,"Root C and N, RTD, SRL, Diam, from Groot",,"Bayreuth_DroughtNet, Cowichan Drt, EE Elva, Rhijnauwen, Validate",Poaceae,GRASS,PERENNIAL,GRASS,,,,
ALYSSUM DESERTORUM,,0.1,,27.17578947,,,,,,,North Platte,Brassicaceae,FORB,ANNUAL,FORB,,,,
AMBROSIA ARTEMISIIFOLIA,23.1,0.226,15.077975,21.45333609,1.22,0.08,135,0.36,"Root N, SRL, RTD, Diam from Groot",,"Bivens Arm, Cedar Point - Drought-Net, Cedar Creek Savanna, ESW",Compositae,FORB,ANNUAL,FORB,,,,
AMBROSIA DUMOSA,29.546,0.6096,,14.1,0.3048,,,,,,NNSS_Mojave,Compositae,SHRUB,PERENNIAL,WOODY,,,,
AMBROSIA PSILOSTACHYA,23.246,0.4385,12.9,15.82842,0.99,0.37,72.86943333,0.44,"SRL, Root C ,Root N, Depth from Groot, Rdiam from Larson",,"BFL, Cedar Creek Savanna, Konza Drt, Oklahoma (KAEFS-OK), SLP",Compositae,FORB,PERENNIAL,FORB,,,,
AMBROSIA TENUIFOLIA,18.2,4.572,,9.366271504,0.6096,,,,,,"Las Chilcas Drt, Mar Chiquita Drt",Compositae,FORB,PERENNIAL,FORB,,,,
AMORPHA CANESCENS,22.25861206,0.446,27.18327333,13.80561828,0.508,0.59,45.95532256,0.19,"SRL, Root N from Groot",,"Cedar Creek Savanna, Cedar Creek Trait, Konza Drt ",Fabaceae,FORB,PERENNIAL,LEGUME,,,,
AMPHICARPAEA BRACTEATA,23.5625,0.1525,,31.34796238,,,,,,,Cedar Creek Savanna,Fabaceae,FORB,ANNUAL,LEGUME,,,SLA from Carmona et al. 2021 Sci Adv.,
AMSINCKIA TESSELLATA,,,,,,,,,,,"Cap Mcdowell, Cap Whitetank, Gmdrc Granitecove, Gmdrc Molar Junction, NNSS_Mojave",Boraginaceae,FORB,ANNUAL,FORB,,,,
ANAGALLIS ARVENSIS,25,0.187,,28.34396552,0.315,,,,,,"Bivens Arm, Jena, Mar Chiquita Drt, SantaCruzHigh, SantaCruzMiddle",Primulaceae,FORB,ANNUAL,FORB,,,,
ANDROPOGON GERARDII,11.43191184,1.43,14.4,7.475763032,0.508,0.2,65.1,0.7,RTD and SRL from Justin,RL from Groot,"Brookdale, Cedar Creek Savanna, Cedar Creek Trait, Konza Drt, Purdue Wildlife Area",Poaceae,GRASS,PERENNIAL,GRASS,,,,
ANDROPOGON GLOMERATUS,15.3,1.92024,,,0.3048,,,,,,"BFL, SLP",Poaceae,GRASS,NULL,GRASS,,,,
ANDROPOGON VIRGINICUS,13.3,0.763593333,,11.86738259,0.3556,,,,,,"Bivens Arm, Oklahoma (KAEFS-OK), Sandhills",Poaceae,GRAMINOID,PERENNIAL,GRASS,,,,
ANDROSACE SEPTENTRIONALIS,19.4925,0.011,12.29704857,30.84123333,0.1,,79.99696667,,"Root C and N, depth SRL, from Groot",,"Biddulph, Kernen_burned, Kernen_unburned, Matador, Mattheis",Primulaceae,FORB,ANNUAL,FORB,,,,
ANEMONASTRUM CANADENSE,,,,,,,,,,,Brookdale,Ranunculaceae,FORB,PERENNIAL,FORB,,,,
ANEMONE CAROLINIANA,,,,,,,,,,,Oklahoma (KAEFS-OK),Ranunculaceae,FORB,PERENNIAL,FORB,,,,
ANEMONE PATENS,,0.20625,,24.26984405,0.762222222,0.359426374,33.15708162,,"depth, RTD, SRL from Groot",,"Kernen_burned, Kinsella",Ranunculaceae,FORB,PERENNIAL,FORB,,,"height, SLA from Carmona et al. 2021 Sci Adv.",
ANTENNARIA NEGLECTA,14.85633333,0.3048,,17.70998319,0.2286,0.15753416,118.3340008,0.277125,"diam, RTD, SRL from Groot",,Konza Drt,Compositae,FORB,PERENNIAL,FORB,,,,
ANTHOXANTHUM ODORATUM,23.59023243,0.383753535,8.005555556,24.91123988,0.155,0.107066623,344.3025853,0.111111111,"depth, RTD, SRL from Groot",,"Bayreuth_DroughtNet, Cowichan Drt, EE Elva, Lygra_intermediate, Passo Gavia, Rhijnauwen, Teshio Experimental Grassland",Poaceae,GRASS,PERENNIAL,GRASS,,,,
ANTHYLLIS VULNERARIA,32.33118574,0.2845,19.6042,18.21819656,1.7,0.22014466,149.3012403,0.25,"depth, RTD, SRL from Groot",,"Allmend Brachy, Allmend Ovina",Fabaceae,FORB,PERENNIAL,LEGUME,,,,
APERA SPICA-VENTI,,0.775,,19.13333333,0.66,,193.8,,,,Bad Drought,Poaceae,GRASS,ANNUAL,GRASS,,,,
APHANES ARVENSIS,15,0.1,,35.07,0.05,0.9167417,21.0833,,"leafN, height, SLA from PI",,Jena,Rosaceae,FORB,ANNUAL,FORB,,,,
APHELIA PUMILIO,,0.03,,,,,,,,,Jilpanger,Centrolepidaceae,FORB,ANNUAL,FORB,,,,
APHYLLANTHES MONSPELIENSIS,21.4,0.22,,5,0.8,,,,,,Ayora Experimental Station,Asparagaceae,FORB,PERENNIAL,FORB,,,,
APOCYNUM CANNABINUM,17.24,0.95292,,10.21642474,0.3048,0.326740067,54.03916377,0.304733333,"diam, RTD, SRL from Groot",,Purdue Wildlife Area,Apocynaceae,FORB,NULL,FORB,,,leafN from Craine et al. 2012 Plant Soil,
ARENARIA SERPYLLIFOLIA,12,0.075,13.275,23.7,0.21,0.067,627.505,0.207422972,"leafN, height, SLA from PI","root C and N, RTD, SRL, Diam from Groot","Jena, Kiskunsag",Caryophyllaceae,FORB,ANNUAL,FORB,,,,
ARGYROLOBIUM ZANONII,22.77,0.1,,13,,,,,,,Ayora Experimental Station,Fabaceae,SUBSHRUB,PERENNIAL,LEGUME,,,,
ARISTIDA CONTORTA,10.79897,0.3,,9.37,,,,,,,"Cobar, CredoM",Poaceae,GRASS,NULL,GRASS,,,,
ARISTIDA HOLATHERA,8.4875,0.7,2.975,5.62,,0.745,,0.375,RTD from Groot,,"Ethabuka_DNB, Ethabuka_DNU",Poaceae,GRASS,ANNUAL,GRASS,,,,
ARISTIDA JUNCIFORMIS,9.7441916,,,8.6,,,,,,,Ukulinga Drought,Poaceae,GRASS,PERENNIAL,GRASS,,,,
ARISTIDA LONGESPICA,11.39,,,,,,,,,,SLP,Poaceae,GRASS,PERENNIAL,GRASS,,,leafN from Adler et al. 2004 Journal of Applied Ecology,
ARISTIDA MENDOCINA,,,,,,,,,,,"Los Cerrillos, Monte Oriental",Poaceae,GRASS,PERENNIAL,GRASS,,,,
ARISTIDA PURPUREA,9.88,0.0735,6.53,6.520633333,1.315133333,0.3626,50.55346667,0.71,,"Root C and N, and depth from Groot","BFL, Cedar Point - Drought-Net, Jornada_LTER Drt, JRN_Chihuahuan",Poaceae,GRASS,PERENNIAL,GRASS,,,,
ARISTIDA SETIFOLIA,,,,,,,,,,,Guaribas,Poaceae,GRAMINOID,NULL,GRASS,,,,
ARISTIDA STRICTA,11.1128167,1.18872,,6.79,0.1524,,,,,,"Bivens Arm, Sandhills",Poaceae,GRAMINOID,PERENNIAL,GRASS,,,,
ARJONA TUBEROSA,,,,,0.25,,,,,,Potrok Aike Drt,Schoepfiaceae,FORB,PERENNIAL,FORB,,,,
ARMERIA MARITIMA,17,0.308106667,9.3,21.1502,0.254,0.2612175,57.875,0.221876923,Root N and Diam from Groot,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/1365-2435.13656,Potrok Aike Drt,Plumbaginaceae,FORB,PERENNIAL,FORB,,,,
ARRHENATHERUM ELATIUS,25.84,0.857,8.902914385,29.67,0.3556,0.119407807,190.1954961,0.304707692,"LeafN, height, SLA from PI","RootC and N, Diam, RTD, SRL from Groot","Bayreuth_DroughtNet, Jena, Rhijnauwen, Validate",Poaceae,"GRASS, Forb (Jena)",PERENNIAL,GRASS,,,,
ARTEMISIA ABSINTHIUM,22.1,0.802333333,,24.66323678,,,,,,,Kernen_burned,Compositae,FORB,PERENNIAL,FORB,,,leafN from Carmona et al. 2021 Sci Adv.,
ARTEMISIA ARBUSCULA,,0.6096,,,0.254,,,,,,"ORE IDE AA, ORE IDE AC",Compositae,SHRUB,PERENNIAL,WOODY,,,,
ARTEMISIA CAMPESTRIS,18.886,0.353,9.064339995,18.71203,1.22,0.366498,52.76693333,0.46,"RootC and N, SRL froom Groot, Rdiam from Julie Larson",,"Biddulph, Kiskunsag",Compositae,FORB,PERENNIAL,FORB,,,,
ARTEMISIA CANA,24,1.524,,10.06,0.508,0.261669741,55.91952402,0.31,"RTD, SRL, Diam from Groot",,ORE IDE AC,Compositae,SHRUB,PERENNIAL,WOODY,,,,
ARTEMISIA FILIFOLIA,,,,,3.3528,,,,depth from groot,,Cedar Point - Drought-Net,Compositae,WOODY,PERENNIAL,WOODY,,,,
ARTEMISIA FRIGIDA,27.14787037,0.6096,13.115,15.13958917,0.2032,0.362103739,34.74405462,0.188200863,"Root N, SRL, Diam, RTD from groot",,"Biddulph, Cedar Point - Drought-Net, Kernen_burned, Kernen_unburned, Kinsella, Matador, Mattheis, North Platte",Compositae,"FORB, Subshrub (Kinsella, Mattheis), Shrub (North Platte)",PERENNIAL,WOODY,,,,
ARTEMISIA INDICA,23.07881,1.882,,16.29,,,,,,,Teshio Experimental Grassland,Compositae,FORB,PERENNIAL,FORB,,,,
ARTEMISIA LUDOVICIANA,19.24454545,0.597,11.63,16.4954108,0.2032,0.222016659,76.92231348,0.31821746,"Diam, RTD, SRL from groot",,"Biddulph, Brookdale, Cedar Creek Savanna, Kernen_burned, Kernen_unburned, Konza Drt",Compositae,FORB,PERENNIAL,FORB,,,,
ARTEMISIA NOVA,,0.6096,,,0.254,,,,,,Hardware Ranch,Compositae,SHRUB,PERENNIAL,WOODY,,,,
ARTEMISIA TRIDENTATA,15.26666667,2.0334,,7.24415531,0.508,,76.06224385,0.485315,"Diam, SRL from Groot",,"CMSS, Hardware Ranch, North Platte, OCTC_GreatBasin",Compositae,SHRUB,PERENNIAL,WOODY,,,,
ARTEMISIA VULGARIS,44.63333333,1.439387862,,21.44697757,,0.103788328,270.1683965,0.241066667,"Diam, RTD, SRL from Groot",,EE Elva,Compositae,FORB,PERENNIAL,FORB,,,,
ASCLEPIAS PUMILA,,,,,,,,,,,Cedar Point - Drought-Net,Apocynaceae,FORB,PERENNIAL,FORB,,,,
ASCLEPIAS VIRIDIS,30.82,0.456,,10.46681531,,0.320746666,41.57111916,0.36446,"Diam, RTD, SRL from Groot",,"Konza Drt, Oklahoma (KAEFS-OK)",Apocynaceae,FORB,PERENNIAL,FORB,,,leafN from Craine et al. 2012 Plant Soil,
ASPERULA ARISTATA,,0.23,,6.483,0.51,,,,,,Ayora Experimental Station,Rubiaceae,FORB,PERENNIAL,FORB,,,,
ASPERULA CYNANCHICA,15,0.284375,,27.91666667,0.93,,390.8625,,,,"Allmend Brachy, Allmend Ovina",Rubiaceae,FORB,PERENNIAL,FORB,,,"leafN from Fitter, A. H. and H. J. Peat 1994. The Ecological Flora Database. Journal of Ecology 82:415-425.",
ASPERULA GUNNII,,0.432,,21.796842,,,,,,,Falls Creek,Rubiaceae,FORB,PERENNIAL,FORB,,,,
ASTER SQUAMATUS,,0.3,,24.49096986,,,,,,,Las Chilcas Drt,Compositae,FORB,PERENNIAL,FORB,,,,
ASTEROLASIA TRYMALIOIDES,,0.54,,4.969295,,,,,,,Falls Creek,Rutaceae,SHRUB,PERENNIAL,WOODY,,,,
ASTRAGALUS AGRESTIS,,0.3048,25.48,25.4434284,0.254,0.416287,20.82529,0.38865,,,Kinsella,Fabaceae,FORB,PERENNIAL,LEGUME,,,SLA from Carmona et al. 2021 Sci Adv.,
ASTRAGALUS FLEXUOSUS,,,,18.84541998,,,,,,,"Kernen_burned, Kernen_unburned, Matador",Fabaceae,FORB,PERENNIAL,LEGUME,,,SLA from Carmona et al. 2021 Sci Adv.,
ASTRAGALUS LAXMANNII,33.9,0.14648,,13.514,,,,,,,Cedar Point - Drought-Net,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
ASTRAGALUS MISER,,,,,,,,,,,CMSS,Fabaceae,FORB,PERENNIAL,LEGUME,,,,
ASTRAGALUS MISSOURIENSIS,,,,13.70899179,,,57.04635,0.26,,,"Sevilleta_Black, Sevilleta_Blue",Fabaceae,LEGUME,PERENNIAL,LEGUME,,,,
ASTRAGALUS NUTTALLIANUS,,,,20.29476228,0.13,,9.530497,0.2,,,"Cap Mcdowell, Cap Whitetank",Fabaceae,LEGUME,ANNUAL,LEGUME,,,,
ASTRANTIA MAJOR,28.539,0.4215,,22.75909384,,,,,,,Pineta,Apiaceae,FORB,NULL,FORB,,,,
ASTREBLA LAPPACEA,16.2306281,0.65,,11.43619445,,,,0.25146667,,,Milparinka,Poaceae,GRASS,PERENNIAL,GRASS,,,,
ASTREBLA PECTINATA,,0.63,,11.341433,,,,,,,Milparinka,Poaceae,GRASS,PERENNIAL,GRASS,,,,
ASTROLOMA HUMIFUSUM,12.4718844,0.1,,7.958695652,,,,,,,Jilpanger,Ericaceae,SHRUB,PERENNIAL,WOODY,,,,
AVENA BARBATA,17,0.389,,25.674375,0.5,0.02363125,149,0.373688235,"Diam, RTD, SLR, thickness from Justin",,"Naposta, SantaCruzHigh, SantaCruzLow, SantaCruzMiddle",Poaceae,GRASS,ANNUAL,GRASS,,,,
AVENELLA FLEXUOSA,,0.3309,,61.28,0.75,,,,,,Lygra_old,Poaceae,GRASS,NULL,GRASS,,,,
AXONOPUS AUREUS,,,,,,,,,,,Guaribas,Poaceae,GRAMINOID,NULL,GRASS,,,,
AXONOPUS FISSIFOLIUS,11.3,0.07836831,,16.32,,,,,,,"EEA, Yarramundi Drt",Poaceae,GRASS,NULL,GRASS,,,,
AXYRIS AMARANTHOIDES,26.3,1.2,,16.12903226,,,,,,,Kinsella,Amaranthaceae,FORB,ANNUAL,FORB,,,"leafN from Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819",SLA from China Plant Trait Database 2
AZORELLA FUEGIANA,,,,,,,,,,,Potrok Aike Drt,Apiaceae,FORB,PERENNIAL,FORB,,,,
AZORELLA MONANTHA,,,,,,,,,,,Potrok Aike Drt,Apiaceae,FORB,PERENNIAL,FORB,,,,
BACCHARIS GILLIESII,,,,,,,,,,,Chacra Experimental Patagones,Compositae,FORB,PERENNIAL,FORB,,,,
BACCHARIS PINGRAEA,,,,,,,,,,,Las Chilcas Drt,Compositae,FORB,PERENNIAL,FORB,,,,
BACCHARIS ULICINA,,,,,,,,,,,"Chacra Experimental Patagones, Monte Oriental, Naposta",Compositae,FORB,PERENNIAL,FORB,,,,
BAPTISIA ALBA,38.8,0.566,,10.46479935,,0.143056646,146.141189,0.309371429,"Diam, RTD, SRL from groot",,Cedar Creek Trait,Fabaceae,FORB,PERENNIAL,LEGUME,,,,
BAPTISIA BRACTEATA,35.8,0.649,,12.09,2.032,,,,depth from groot,,SLP,Fabaceae,LEGUME,PERENNIAL,LEGUME,,,height from Carmona et al. 2021 Sci Adv.,
BASSIA LANIFLORA,,0.25,,7.806666667,,,,,,,Kiskunsag,Amaranthaceae,FORB,ANNUAL,FORB,,,"SLA from Lhotsky B., Anikó Csecserits, Bence Kovács, Zoltán Botta-Dukát: New plant trait records of the Hungarian flora",
BASSIA SCOPARIA,32.45,1.184444444,,19.65690846,,,,,,,"Antelope, Changling",Amaranthaceae,FORB,ANNUAL,FORB,,,,
BELLIS PERENNIS,17.81,0.165,8.4,34.15,0.18,0.130088142,324.9590331,0.243322583,"LeafN, height, SLA from PI","Diam, RootC and N, RTD,SRL from groot","Bayreuth_DroughtNet, Jena",Compositae,FORB,PERENNIAL,FORB,,,,
BERBERIS NERVOSA,,0.6096,,10.38,0.4064,,18.14285714,,,,Cowichan Drt,Berberidaceae,SHRUB,PERENNIAL,WOODY,,,,
BETULA PENDULA,24.7363717,20.42708333,9.9,18.17513615,0.6096,0.2543,62.22003608,0.2899,"RootC, RTD, Diam, SRL from groot",,"Bayreuth_DroughtNet, HOIDE",Betulaceae,WOODY,PERENNIAL,WOODY,,,,
BLENNOSPORA DRUMMONDII,,0.06807094,,18.695174,,,,,,,Jilpanger,Compositae,FORB,ANNUAL,FORB,,,,
BLEPHARIPAPPUS SCABER,,,,,,,,,,,"ORE IDE AA, ORE IDE AC",Compositae,FORB,ANNUAL,FORB,,,,
BOERHAVIA DIFFUSA,,0.55,,20.76,1.2,,14.29,,,,Los Cerrillos,Nyctaginaceae,FORB,PERENNIAL,FORB,,,,
BOERHAVIA SPICATA,,,,,0.3,,,,,,Jornada_LTER Drt,Nyctaginaceae,FORB,ANNUAL,FORB,,,,
BOTHRIOCHLOA LAGUROIDES,15.98,,,26,,,,,,,"Las Chilcas Drt, Mar Chiquita Drt, Oklahoma (KAEFS-OK)",Poaceae,GRASS,PERENNIAL,GRASS,,,leafN from Craine et al. 2012 Plant Soil,
BOUTELOUA ARISTIDOIDES,15.9,0.04,,12.89,0.3,,103.65,,,,"Los Cerrillos, Kinsella",Poaceae,GRASS,ANNUAL,GRASS,,,,
BOUTELOUA CURTIPENDULA,8.7,0.427,8.84,14.60867,0.3048,0.19,94.40056667,0.032,,"SRL, RootC and N from Groot","Cedar Creek Savanna, Cedar Creek Trait, Konza Drt ",Poaceae,GRASS,PERENNIAL,GRASS,,,,
BOUTELOUA GRACILIS,15.416,0.345,14.76,12.868115,0.135,0.447182567,118.8815333,0.192729167,"RootC and N, RTD, SRL, Diam from Groot",rootDiam from Justin,"Cedar Point - Drought-Net, Cedar Creek Trait, Konza Drt, Matador, Mattheis, North Platte",Poaceae,GRASS,PERENNIAL,GRASS,,,,
BRACHIARIA PAUCISPICATA,,,,,,,,,,,Los Cerrillos,Poaceae,GRASS,ANNUAL,GRASS,,,,
BRACHIARIA SERRATA,12.4209428,,,28.49,,,,,,,Ukulinga Drought,Poaceae,GRASS,PERENNIAL,GRASS,,,,
BRACHYPODIUM DISTACHYON,21.9,0.1005,,30.85889908,0.5,,,,,,"SantaCruzHigh, SantaCruzMiddle",Poaceae,FORB,ANNUAL,GRASS,,,,
BRACHYPODIUM PINNATUM,18.10766667,0.540866667,7.10106212,23.9927357,0.1,0.186379697,207.6695041,0.22129993,"RootC and N, RTD, SRL, Diam from Groot",,"Allmend Brachy, Allmend Ovina, Pineta, ",Poaceae,GRASS,PERENNIAL,GRASS,,,,
BRACHYPODIUM RETUSUM,7.1,0.4,,12.40924826,,,,,,,"Ayora Experimental Station, Middle Ebro Valley",Poaceae,GRASS,PERENNIAL,GRASS,,,,
BRACHYSCOME DECIPIENS,,0.2,,15.221818,,,,,,,Falls Creek,Compositae,FORB,PERENNIAL,FORB,,,,
BRACHYSCOME PERPUSILLA,,0.07311427,,39.649227,,,,,,,Jilpanger,Compositae,FORB,ANNUAL,FORB,,,,
BRIZA MAXIMA,10.2,0.6096,,68.9,0.254,,120.3,0.57,,,"SantaCruzHigh, SantaCruzMiddle",Poaceae,FORB,ANNUAL,GRASS,,,,
BRIZA MEDIA,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,"RootC and N, RTD, SRL, Diam from Groot",,"Allmend Brachy, Allmend Ovina, EE Elva, Rhijnauwen",Poaceae,GRASS,"PERENNIAL, Annual (Jilpanger)",GRASS,,,,
BRIZA MINOR,17.3,0.6,,40.562519,,,,0.284,,,"Mar Chiquita Drt, SantaCruzHigh, SLP",Poaceae,GRASS,ANNUAL,GRASS,,,,
BRIZA SUBARISTATA,9.7912705,0.8,,9.71,,,,,,,Las Chilcas Drt,Poaceae,NULL,NULL,GRASS,,,,
BROMUS CATHARTICUS,39.6088,0.9572,4.9,35,0.3048,0.079079135,129.3385704,0.30525,"Root N, RTD, SRL, Diam from groot",,"Mar Chiquita Drt, Naposta",Poaceae,GRASS,NULL,GRASS,,,"leafN from Cerabolini B.E.L., Brusa G., Ceriani R.M., De Andreis R., Luzzaro A. & Pierce S. 2010. Can CSR classification be generally applied outside Britain? Plant Ecology 210: 253-261",
BROMUS DIANDRUS,19.4,0.99,,39,,,238.8,,,,"SantaCruzLow, SantaCruzMiddle",Poaceae,GRASS,ANNUAL,GRASS,,,,
