,Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
29,ADESMIA CONFUSA,ADESMIA,,confusa,NA,NA,,,ild-26108,TRUE,1.1,Accepted,Leguminosae,Adesmia,,confusa,,,Ulibarri,ild-26108,Accepted,FALSE,FALSE,FALSE,12/26/24
30,ADESMIA LOTOIDES,ADESMIA,,lotoides,NA,NA,,,ild-11290,TRUE,1.1,Accepted,Leguminosae,Adesmia,,lotoides,,,Hook.f.,ild-11290,Accepted,FALSE,FALSE,FALSE,12/26/24
31,ADESMIA TENELLA,ADESMIA,,tenella,NA,NA,,,ild-25148,TRUE,1.1,Accepted,Leguminosae,Adesmia,,tenella,,,Hook. & Arn.,ild-25148,Accepted,FALSE,FALSE,FALSE,12/26/24
33,AGALINIS HETEROPHYLLA,AGALINIS,,heterophylla,NA,NA,,,kew-2625059,TRUE,1.1,Accepted,Orobanchaceae,Agalinis,,heterophylla,,,(Nutt.) Small ex Britton,kew-2625059,Accepted,FALSE,FALSE,FALSE,12/26/24
34,AGALINIS PURPUREA,AGALINIS,,purpurea,NA,NA,,,kew-2625104,TRUE,1.1,Accepted,Orobanchaceae,Agalinis,,purpurea,,,(L.) Pennell,kew-2625104,Accepted,FALSE,FALSE,FALSE,12/26/24
35,AGASTACHE FOENICULUM,AGASTACHE,,foeniculum,NA,NA,,,kew-4454,TRUE,1.1,Accepted,Lamiaceae,Agastache,,foeniculum,,,(Pursh) Kuntze,kew-4454,Accepted,FALSE,FALSE,FALSE,12/26/24
36,AGATHISANTHEMUM CHLOROPHYLLUM,AGATHISANTHEMUM,,chlorophyllum,NA,NA,,,kew-4558,TRUE,1.1,Accepted,Rubiaceae,Agathisanthemum,,chlorophyllum,,,(Hochst.) Bremek.,kew-4558,Accepted,FALSE,FALSE,FALSE,12/26/24
37,AGOSERIS GLAUCA,AGOSERIS,,glauca,NA,NA,,,gcc-135689,TRUE,1.1,Accepted,Compositae,Agoseris,,glauca,,,(Pursh) Raf.,gcc-135689,Accepted,FALSE,FALSE,FALSE,12/26/24
38,AGRIMONIA EUPATORIA,AGRIMONIA,,eupatoria,NA,NA,,,rjp-408,TRUE,1.1,Accepted,Rosaceae,Agrimonia,,eupatoria,,,L.,rjp-408,Accepted,FALSE,FALSE,FALSE,12/26/24
39,AGROPYRON CRISTATUM,AGROPYRON,,cristatum,NA,NA,,,kew-388313,TRUE,1.1,Accepted,Poaceae,Agropyron,,cristatum,,,(L.) Gaertn.,kew-388313,Accepted,FALSE,FALSE,FALSE,12/26/24
40,AGROSTIS CANINA,AGROSTIS,,canina,NA,NA,,,kew-389335,TRUE,1.1,Accepted,Poaceae,Agrostis,,canina,,,L.,kew-389335,Accepted,FALSE,FALSE,FALSE,12/26/24
41,AGROSTIS CAPILLARIS,AGROSTIS,,capillaris,NA,NA,,,kew-387729,TRUE,1.1,Accepted,Poaceae,Agrostis,,capillaris,,,L.,kew-387729,Accepted,FALSE,FALSE,FALSE,12/26/24
42,AGROSTIS GIGANTEA,AGROSTIS,,gigantea,NA,NA,,,kew-389634,TRUE,1.1,Accepted,Poaceae,Agrostis,,gigantea,,,Roth,kew-389634,Accepted,FALSE,FALSE,FALSE,12/26/24
43,AGROSTIS INCONSPICUA,AGROSTIS,,inconspicua,NA,NA,,,kew-389750,TRUE,1.1,Accepted,Poaceae,Agrostis,,inconspicua,,,Kunze,kew-389750,Accepted,FALSE,FALSE,FALSE,12/26/24
44,AGROSTIS MONTEVIDENSIS,AGROSTIS,,montevidensis,NA,NA,,,kew-389941,TRUE,1.1,Accepted,Poaceae,Agrostis,,montevidensis,,,Spreng. ex Nees,kew-389941,Accepted,FALSE,FALSE,FALSE,12/26/24
45,AGROSTIS RUPESTRIS,AGROSTIS,,rupestris,NA,NA,,,kew-390243,TRUE,1.1,Accepted,Poaceae,Agrostis,,rupestris,,,All.,kew-390243,Accepted,FALSE,FALSE,FALSE,12/26/24
46,AGROSTIS SCABRA,AGROSTIS,,scabra,NA,NA,,,kew-390266,TRUE,1.1,Accepted,Poaceae,Agrostis,,scabra,,,Willd.,kew-390266,Accepted,FALSE,FALSE,FALSE,12/26/24
47,AGROSTIS STOLONIFERA,AGROSTIS,,stolonifera,NA,NA,,,kew-390383,TRUE,1.1,Accepted,Poaceae,Agrostis,,stolonifera,,,L.,kew-390383,Accepted,FALSE,FALSE,FALSE,12/26/24
48,AGROSTIS VENUSTA,AGROSTIS,,venusta,NA,NA,,,kew-390620,TRUE,1.1,Accepted,Poaceae,Agrostis,,venusta,,,Trin.,kew-390620,Accepted,FALSE,FALSE,FALSE,12/26/24
49,AIRA CARYOPHYLLEA,AIRA,,caryophyllea,NA,NA,,,kew-390804,TRUE,1.1,Accepted,Poaceae,Aira,,caryophyllea,,,L.,kew-390804,Accepted,FALSE,FALSE,FALSE,12/26/24
50,AIRA ELEGANTISSIMA,AIRA,,elegantissima,NA,NA,,,kew-390883,TRUE,1.1,Accepted,Poaceae,Aira,,elegantissima,,,Schur,kew-390883,Accepted,FALSE,FALSE,FALSE,12/26/24
51,ALBUCA SETOSA,ALBUCA,,setosa,NA,NA,,,kew-294632,TRUE,1.1,Accepted,Asparagaceae,Albuca,,setosa,,,Jacq.,kew-294632,Accepted,FALSE,FALSE,FALSE,12/26/24
53,ALCHEMILLA PENTAPHYLLEA,ALCHEMILLA,,pentaphyllea,NA,NA,,,rjp-8970,TRUE,1.1,Accepted,Rosaceae,Alchemilla,,pentaphyllea,,,L.,rjp-8970,Accepted,FALSE,FALSE,FALSE,12/26/24
54,ALKANNA TINCTORIA,ALKANNA,,tinctoria,NA,NA,,,kew-2628546,TRUE,1.1,Accepted,Boraginaceae,Alkanna,,tinctoria,,,(L.) Tausch,kew-2628546,Accepted,FALSE,FALSE,FALSE,12/26/24
55,ALLIONIA INCARNATA,ALLIONIA,,incarnata,NA,NA,,,kew-2628768,TRUE,1.1,Accepted,Nyctaginaceae,Allionia,,incarnata,,,L.,kew-2628768,Accepted,FALSE,FALSE,FALSE,12/26/24
56,ALLIUM ACUMINATUM,ALLIUM,,acuminatum,NA,NA,,,kew-294896,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,acuminatum,,,Hook.,kew-294896,Accepted,FALSE,FALSE,FALSE,12/26/24
57,ALLIUM AMPLECTENS,ALLIUM,,amplectens,NA,NA,,,kew-294999,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,amplectens,,,Torr.,kew-294999,Accepted,FALSE,FALSE,FALSE,12/26/24
58,ALLIUM CARINATUM,ALLIUM,,carinatum,NA,NA,,,kew-295243,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,carinatum,,,L.,kew-295243,Accepted,FALSE,FALSE,FALSE,12/26/24
59,ALLIUM CERNUUM,ALLIUM,,cernuum,NA,NA,,,kew-295267,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,cernuum,,,Roth,kew-295267,Accepted,FALSE,FALSE,FALSE,12/26/24
60,ALLIUM NEAPOLITANUM,ALLIUM,,neapolitanum,NA,NA,,,kew-296083,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,neapolitanum,,,Cirillo,kew-296083,Accepted,FALSE,FALSE,FALSE,12/26/24
61,ALLIUM TEXTILE,ALLIUM,,textile,NA,NA,,,kew-296789,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,textile,,,A.Nelson & J.F.Macbr.,kew-296789,Accepted,FALSE,FALSE,FALSE,12/26/24
62,ALLIUM VINEALE,ALLIUM,,vineale,NA,NA,,,kew-296924,TRUE,1.1,Accepted,Amaryllidaceae,Allium,,vineale,,,L.,kew-296924,Accepted,FALSE,FALSE,FALSE,12/26/24
63,ALLOTEROPSIS CIMICINA,ALLOTEROPSIS,,cimicina,NA,NA,,,kew-391228,TRUE,1.1,Accepted,Poaceae,Alloteropsis,,cimicina,,,(L.) Stapf,kew-391228,Accepted,FALSE,FALSE,FALSE,12/26/24
64,ALOPECURUS PRATENSIS,ALOPECURUS,,pratensis,NA,NA,,,kew-391506,TRUE,1.1,Accepted,Poaceae,Alopecurus,,pratensis,,,L.,kew-391506,Accepted,FALSE,FALSE,FALSE,12/26/24
65,ALTERNANTHERA SESSILIS,ALTERNANTHERA,,sessilis,NA,NA,,,kew-2631425,TRUE,1.1,Accepted,Amaranthaceae,Alternanthera,,sessilis,,,(L.) R.Br. ex DC.,kew-2631425,Accepted,FALSE,FALSE,FALSE,12/26/24
66,ALYSICARPUS OVALIFOLIUS,ALYSICARPUS,,ovalifolius,NA,NA,,,ild-33361,TRUE,1.1,Accepted,Leguminosae,Alysicarpus,,ovalifolius,,,(Schum.) Leonard,ild-33361,Accepted,FALSE,FALSE,FALSE,12/26/24
67,ALYSSUM DESERTORUM,ALYSSUM,,desertorum,NA,NA,,,kew-2632075,TRUE,1.1,Accepted,Brassicaceae,Alyssum,,desertorum,,,Stapf,kew-2632075,Accepted,FALSE,FALSE,FALSE,12/26/24
68,AMARANTHUS VIRIDIS,AMARANTHUS,,viridis,NA,NA,,,kew-2633159,TRUE,1.1,Accepted,Amaranthaceae,Amaranthus,,viridis,,,L.,kew-2633159,Accepted,FALSE,FALSE,FALSE,12/26/24
69,AMBROSIA ARTEMISIIFOLIA,AMBROSIA,,artemisiifolia,NA,NA,,,gcc-20460,TRUE,1.1,Accepted,Compositae,Ambrosia,,artemisiifolia,,,L.,gcc-20460,Accepted,FALSE,FALSE,FALSE,12/26/24
70,AMBROSIA DELTOIDEA,AMBROSIA,,deltoidea,NA,NA,,,gcc-12215,TRUE,1.1,Accepted,Compositae,Ambrosia,,deltoidea,,,(Torr.) W.W.Payne,gcc-12215,Accepted,FALSE,FALSE,FALSE,12/26/24
71,AMBROSIA DUMOSA,AMBROSIA,,dumosa,NA,NA,,,gcc-100971,TRUE,1.1,Accepted,Compositae,Ambrosia,,dumosa,,,(A.Gray) W.W.Payne,gcc-100971,Accepted,FALSE,FALSE,FALSE,12/26/24
72,AMBROSIA PSILOSTACHYA,AMBROSIA,,psilostachya,NA,NA,,,gcc-97891,TRUE,1.1,Accepted,Compositae,Ambrosia,,psilostachya,,,DC.,gcc-97891,Accepted,FALSE,FALSE,FALSE,12/26/24
73,AMBROSIA TENUIFOLIA,AMBROSIA,,tenuifolia,NA,NA,,,gcc-33087,TRUE,1.1,Accepted,Compositae,Ambrosia,,tenuifolia,,,Spreng.,gcc-33087,Accepted,FALSE,FALSE,FALSE,12/26/24
74,AMELANCHIER ALNIFOLIA,AMELANCHIER,,alnifolia,NA,NA,,,rjp-4731,TRUE,1.1,Accepted,Rosaceae,Amelanchier,,alnifolia,,,(Nutt.) Nutt. ex M.Roem.,rjp-4731,Accepted,FALSE,FALSE,FALSE,12/26/24
75,AMORPHA CANESCENS,AMORPHA,,canescens,NA,NA,,,ild-24889,TRUE,1.1,Accepted,Leguminosae,Amorpha,,canescens,,,Pursh,ild-24889,Accepted,FALSE,FALSE,FALSE,12/26/24
76,AMPELOPSIS ARBOREA,AMPELOPSIS,,arborea,NA,NA,,,kew-2634463,TRUE,1.1,Accepted,Vitaceae,Ampelopsis,,arborea,,,(L.) Koehne,kew-2634463,Accepted,FALSE,FALSE,FALSE,12/26/24
77,AMPHIACHYRIS DRACUNCULOIDES,AMPHIACHYRIS,,dracunculoides,NA,NA,,,gcc-143484,TRUE,1.1,Accepted,Compositae,Amphiachyris,,dracunculoides,,,(DC.) Nutt.,gcc-143484,Accepted,FALSE,FALSE,FALSE,12/26/24
78,AMPHICARPAEA BRACTEATA,AMPHICARPAEA,,bracteata,NA,NA,,,ild-15862,TRUE,1.1,Accepted,Leguminosae,Amphicarpaea,,bracteata,,,(L.) Fernald,ild-15862,Accepted,FALSE,FALSE,FALSE,12/26/24
79,AMSINCKIA MENZIESII,AMSINCKIA,,menziesii,NA,NA,,,kew-2635052,TRUE,1.1,Accepted,Boraginaceae,Amsinckia,,menziesii,,,(Lehm.) A.Nelson & J.F.Macbr.,kew-2635052,Accepted,FALSE,FALSE,FALSE,12/26/24
80,AMSINCKIA TESSELLATA,AMSINCKIA,,tessellata,NA,NA,,,kew-2635153,TRUE,1.1,Accepted,Boraginaceae,Amsinckia,,tessellata,,,A.Gray,kew-2635153,Accepted,FALSE,FALSE,FALSE,12/26/24
81,ANAGALLIS ARVENSIS,ANAGALLIS,,arvensis,NA,NA,,,kew-2636008,TRUE,1.1,Accepted,Primulaceae,Anagallis,,arvensis,,,L.,kew-2636008,Accepted,FALSE,FALSE,FALSE,12/26/24
82,ANDROPOGON BRACHYSTACHYUS,ANDROPOGON,,brachystachyus,NA,NA,,,kew-392092,TRUE,1.1,Accepted,Poaceae,Andropogon,,brachystachyus,,,Chapm.,kew-392092,Accepted,FALSE,FALSE,FALSE,12/26/24
83,ANDROPOGON GERARDII,ANDROPOGON,,gerardii,NA,NA,,,kew-392462,TRUE,1.1,Accepted,Poaceae,Andropogon,,gerardii,,,Vitman,kew-392462,Accepted,FALSE,FALSE,FALSE,12/26/24
