"","Taxon","site_code","mean.after.control.0","mean.after.drought.0","mean.before.control.0","mean.before.drought.0","drought.after.before","control.after.before","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"633","HYPOCHAERIS RADICATA","brokenh.au",0,0,1,0,0,-1,1,17.75,0.3505,5.956457605,28.74506187,0.108,0.14089564,151.7703194,0.261638779,"FORB","PERENNIAL","FORB"
"634","HYPOCHAERIS RADICATA","spvdrt.ar",2.666666667,3,1,1,2,1.666666667,0.333333333,17.75,0.3505,5.956457605,28.74506187,0.108,0.14089564,151.7703194,0.261638779,"FORB","PERENNIAL","FORB"
"635","HYPOCHAERIS RADICATA","quilpie.au",0,0,15,0,0,-15,15,17.75,0.3505,5.956457605,28.74506187,0.108,0.14089564,151.7703194,0.261638779,"FORB","PERENNIAL","FORB"
"636","HYPOCHAERIS RADICATA","charleville.au",0,0,2,1.666666667,-1.666666667,-2,0.333333333,17.75,0.3505,5.956457605,28.74506187,0.108,0.14089564,151.7703194,0.261638779,"FORB","PERENNIAL","FORB"
"637","HYPOCHAERIS RADICATA","yarradrt.au",1,1,14.565,7.966666667,-6.966666667,-13.565,6.598333333,17.75,0.3505,5.956457605,28.74506187,0.108,0.14089564,151.7703194,0.261638779,"FORB","PERENNIAL","FORB"
"638","HYPOCHAERIS RADICATA","falls.au",0.9,0.833333333,0.666666667,0.666666667,0.166666667,0.233333333,-0.066666667,17.75,0.3505,5.956457605,28.74506187,0.108,0.14089564,151.7703194,0.261638779,"FORB","PERENNIAL","FORB"
"639","HYPOLAENA FASTIGIATA","jilpanger.au",0.5,0.5,0,0.5,0,0.5,-0.5,5.5,0.5625,NA,2.094693,0.25,NA,2.742290055,NA,"GRASS","PERENNIAL","FORB"
"640","IMPATIENS NOLI-TANGERE","teshio.jp",0,3,0,0,3,0,3,NA,0.658333333,NA,45.38148148,NA,NA,25.74550227,0.553757778,"FORB","ANNUAL","FORB"
"641","ISOETOPSIS GRAMINIFOLIA","credom.au",0.5,0.5,0,0,0.5,0.5,0,NA,0.045,NA,14.44850259,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"642","ISOETOPSIS GRAMINIFOLIA","cobar.au",0,0,0,1,-1,0,-1,NA,0.045,NA,14.44850259,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"643","ISOETOPSIS GRAMINIFOLIA","credoj.au",0.5,0,0,0,0,0.5,-0.5,NA,0.045,NA,14.44850259,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"644","JACOBAEA VULGARIS","rhijn.nl",2,0,1,1,-1,1,-2,18.1084,1,5.92241,26.66024961,NA,NA,NA,0.2,"FORB","BIENNIAL","FORB"
"650","KALLSTROEMIA PARVIFLORA","sevblack.us",0,0,0.5,0.5,-0.5,-0.5,0,NA,NA,NA,25.53063956,NA,NA,NA,0.235,"FORB","ANNUAL","FORB"
"651","KNAUTIA ARVENSIS","allmendb.ch",0,1.5,0,1.5,0,0,0,24.60384722,0.559111111,10.58839097,18.38055602,0.155,0.2315,150.6768113,0.417,"FORB","PERENNIAL","FORB"
"660","LACTUCA SERRIOLA","naposta.ar",5,3,0,0,3,5,-2,32,0.9375,NA,21.4302,0.825,NA,257.2538462,0.61,"FORB","BIENNIAL","FORB"
"661","LACTUCA SERRIOLA","oreaa.us",0,0,0.5,0,0,-0.5,0.5,32,0.9375,NA,21.4302,0.825,NA,257.2538462,0.61,"FORB","BIENNIAL","FORB"
"662","LACTUCA TATARICA","kernnu.ca",0.75,0,1,0,0,-0.25,0.25,22.6,0.625,NA,18.07666667,2.4,0.213227444,77.19169246,NA,"FORB","PERENNIAL","FORB"
"663","LACTUCA TATARICA","kernb.ca",2,1.25,0.5,2,-0.75,1.5,-2.25,22.6,0.625,NA,18.07666667,2.4,0.213227444,77.19169246,NA,"FORB","PERENNIAL","FORB"
"664","Lagenophora stipitata","jilpanger.au",0.5,0,0,0,0,0.5,-0.5,NA,0.2225,NA,17.262441,NA,NA,NA,NA,"FORB","BOTH","FORB"
"671","LEONTODON HISPIDUS","elvadrt.ee",6.333333333,4,13.33333333,5.666666667,-1.666666667,-7,5.333333333,23.92644618,0.371,11.53789754,27.0408515,0.3,0.134462153,204.9072943,0.273284146,"FORB","PERENNIAL","FORB"
"672","LEONTODON HISPIDUS","allmendo.ch",0,0,0.5,0.5,-0.5,-0.5,0,23.92644618,0.371,11.53789754,27.0408515,0.3,0.134462153,204.9072943,0.273284146,"FORB","PERENNIAL","FORB"
"673","LEPIDIUM DENSIFLORUM","cdpt_drt.us",0,0.1,0,0,0.1,0,0.1,46.39666667,0.32,14.21,22.39565455,NA,0.43647638,190.8904667,0.137691667,"FORB","ANNUAL","FORB"
"680","LEUCANTHEMOPSIS ALPINA","passogavia.it",0.844,0.46,2.302,1.38,-0.92,-1.458,0.538,26,0.035,NA,15.775,0.126,NA,NA,0.83,"FORB","PERENNIAL","FORB"
"681","LEUCANTHEMUM VULGARE","allmendb.ch",1.375,1.5,1,0.75,0.75,0.375,0.375,30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427,"FORB","PERENNIAL","FORB"
"682","LEUCANTHEMUM VULGARE","baddrt.de",0.8,0,0,0,0,0.8,-0.8,30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427,"FORB","PERENNIAL","FORB"
"683","LEUCANTHEMUM VULGARE","elvadrt.ee",1,0,0,0,0,1,-1,30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427,"FORB","PERENNIAL","FORB"
"684","LEUCANTHEMUM VULGARE","rhijn.nl",1,1,6,4,-3,-5,2,30.26796208,0.53192,9.640667198,17.80983272,0.2032,0.178238532,205.5962002,0.23427,"FORB","PERENNIAL","FORB"
"685","LEVENHOOKIA DUBIA","jilpanger.au",0.5,0,0.5,0.5,-0.5,0,-0.5,NA,0.0675,NA,46.78369,NA,NA,NA,NA,"FORB","ANNUAL","FORB"
"686","LIATRIS ASPERA","cedartrait.us",8.428571429,11.8,8.555555556,13.5,-1.7,-0.126984127,-1.573015873,12.33641253,0.68,20.498833,17.00092904,NA,0.135313282,193.6403191,0.335858333,"FORB","PERENNIAL","FORB"
