,Species,leafN.mg.g,Height.m,rootN.mg.g,SLA.mg.g,Root.depth.m,SRL.fine.cm.g,root.diam.mm,SLA.no.petiole.mm2.mg,SLA.unknown.petiole.mm2.mg,SLA.petiole.mm2.mg
105,Acacia myrtifolia,NA,NA,NA,7.039462372,NA,NA,NA,NA,7.039462372,NA
106,Acacia olgana,19.65,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,Acacia oswaldii,18.5,NA,NA,3.801893963,NA,NA,NA,NA,NA,3.801893963
108,Acacia paradoxa,NA,0.4,NA,7.204307564,NA,NA,NA,NA,7.204307564,7.204307564
109,Acacia parramattensis,NA,NA,NA,10.34598701,NA,NA,NA,NA,NA,10.34598701
110,Acacia penninervis,NA,2.333333333,NA,4.939504256,NA,NA,NA,NA,4.939504256,4.939504256
111,Acacia saligna,52.70581171,NA,38.85,21.8444372,NA,NA,NA,NA,NA,21.8444372
112,Acacia sp,34.53043478,6,NA,4.496077226,NA,NA,NA,NA,4.496077226,4.496077226
113,Acacia stenophylla,NA,10,NA,2.57,NA,NA,NA,NA,NA,2.57
114,Acacia suaveolens,19.85,1.1625,NA,10.26325389,NA,NA,NA,21.6,4.763077763,4.426683899
115,Acacia terminalis,NA,NA,NA,6.134499207,NA,NA,NA,NA,NA,6.134499207
116,Acacia tetragonophylla,39.75775398,3.333333333,34.39,5.995498379,NA,NA,NA,7.05,3.205131412,7.731363726
117,Acacia trineura,NA,2,NA,6.977637642,NA,NA,NA,NA,6.977637642,6.977637642
118,Acacia truncata,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,Acacia ulicifolia,NA,1,NA,16.28834951,NA,NA,NA,NA,16.28834951,16.28834951
120,Acacia uncinata,NA,1.5,NA,5.937640086,NA,NA,NA,NA,5.937640086,5.937640086
121,Acacia victoriae,NA,4,NA,4.33,NA,NA,NA,NA,NA,4.33
122,Acacia wilhelmiana,20.3,1,NA,4.49820179,NA,NA,NA,NA,3.942285714,5.054117867
123,Acaena anserinifolia,NA,0.175,NA,24.45398604,NA,NA,NA,NA,NA,24.45398604
124,Acaena magellanica,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,Acaena tenera,22.83333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,Acalypha caturus,NA,NA,NA,13.16666667,NA,NA,NA,NA,13.16666667,NA
127,Acalypha communis,43.15,NA,NA,7.544538583,NA,NA,NA,8.02,6.57,8.043615748
128,Acalypha diversifolia,24.15581882,6.26,NA,22.35629756,NA,NA,NA,22.9166363,NA,21.79595882
129,Acalypha macrostachya,41.79121755,7.08,NA,31.36345118,NA,NA,NA,35.10011487,NA,27.62678749
130,Acalypha skutchii,25.815,NA,NA,38.31417625,NA,NA,NA,NA,38.31417625,NA
131,Acalypha virginica,NA,0.9144,NA,NA,0.1524,NA,NA,NA,NA,NA
132,Acamptopappus shockleyi,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,Acantholimon diapensioides,NA,NA,NA,5.991611744,NA,NA,NA,5.991611744,NA,NA
134,Acanthopsis disperma,NA,NA,NA,5.219206681,NA,NA,NA,NA,5.219206681,NA
135,Acanthosicyos horridus,NA,NA,16.32,NA,NA,NA,NA,NA,NA,NA
136,Acanthostyles buniifolius,23.7,NA,NA,7.4,NA,NA,NA,7.4,NA,NA
137,Acanthus ilicifolius,NA,NA,NA,2.10982659,NA,NA,NA,NA,2.10982659,NA
138,Acaulimalva acaulis,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,Acer campbellii,NA,NA,NA,33.33333333,NA,NA,NA,NA,33.33333333,NA
140,Acer campestre,24.02273747,14.9702381,NA,15.66735614,NA,949.9508897,NA,16.86233089,13.75695875,16.3827788
141,Acer capillipes,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
142,Acer cappadocicum,NA,25,NA,NA,NA,NA,NA,NA,NA,NA
143,Acer caudatum,NA,NA,NA,23.80952381,NA,NA,NA,NA,23.80952381,NA
144,Acer circinatum,NA,7.217,NA,NA,0.6096,NA,NA,NA,NA,NA
145,Acer davidii,NA,15,NA,14.49275362,NA,NA,NA,NA,14.49275362,NA
146,Acer davidii subsp. grosseri,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
147,Acer glabrum,NA,7.304,NA,25.80405844,0.6096,NA,NA,25.80405844,NA,NA
148,Acer glabrum var. douglasii,NA,7.62,NA,NA,0.6096,NA,NA,NA,NA,NA
149,Acer grandidentatum,NA,7.62,NA,NA,0.6096,NA,NA,NA,NA,NA
150,Acer heldreichii,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA
151,Acer japonicum,NA,NA,NA,32.46753247,NA,NA,NA,NA,32.46753247,NA
152,Acer laurinum,19.1,1.24,NA,19.30501931,NA,NA,NA,19.30501931,19.30501931,NA
153,Acer longipes,NA,NA,NA,26.31578947,NA,NA,NA,NA,26.31578947,NA
154,Acer macrophyllum,26.4,20.17066667,NA,29.548,0.6096,NA,NA,29.548,NA,NA
155,Acer monspessulanum,18.9,8.740666667,NA,10.51555919,NA,NA,NA,10.93111838,10.1,NA
156,Acer negundo,27.34164799,13.19359668,NA,21.92218176,1.016,1628.279412,NA,23.79705429,22.87072329,19.09876771
157,Acer nigrum,NA,22.2536,NA,NA,0.762,NA,NA,NA,NA,NA
158,Acer opalus,NA,14.75,NA,16.63508487,NA,NA,NA,15.59016973,17.68,NA
159,Acer palmatum,NA,15,NA,25.88906812,NA,NA,NA,NA,25.88906812,NA
160,Acer pectinatum,NA,NA,NA,33.33333333,NA,NA,NA,NA,33.33333333,NA
161,Acer pensylvanicum,21.60357143,11.572,NA,32.67973856,0.7112,NA,NA,NA,32.67973856,NA
162,Acer pictum,NA,NA,NA,28.602651,NA,NA,NA,NA,28.602651,NA
163,Acer platanoides,20.09269841,24.86933333,NA,23.23043312,1.016,NA,NA,22.18851138,26.04797753,21.45481045
164,Acer pseudoplatanus,25.58290598,25.65961905,NA,18.52432717,1.2192,NA,NA,18.16202632,20.97121212,16.43974306
165,Acer rubrum,18.31769095,18.35,NA,20.28531281,0.762,NA,NA,16.26176322,22.69371603,21.90045917
166,Acer saccharinum,23.66667,31.6375,NA,24.08148768,0.8128,NA,NA,NA,24.08148768,NA
167,Acer saccharum,18.14984431,25.751,5.2,28.38362003,0.8128,NA,NA,37.98775007,34.62811002,12.535
168,Acer sp,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,Acer spicatum,23.55,9.572,8.2,36.76470588,0.8128,NA,NA,NA,36.76470588,NA
170,Acer tataricum,20.6775,6.000333333,NA,21.27192983,0.6096,NA,NA,NA,21.27192983,NA
171,Acer velutinum,NA,30,NA,NA,NA,NA,NA,NA,NA,NA
172,Achillea atrata,NA,0.115,NA,NA,NA,NA,NA,NA,NA,NA
173,Achillea clavennae,NA,0.115,NA,NA,NA,NA,NA,NA,NA,NA
174,Achillea collina,NA,0.555,NA,17.97333333,NA,NA,NA,NA,NA,17.97333333
175,Achillea erba-rotta,NA,NA,NA,22.2,NA,NA,NA,NA,22.2,NA
176,Achillea erba-rotta subsp. moschata,NA,NA,NA,22.22,NA,NA,NA,NA,22.22,NA
177,Achillea macrophylla,NA,0.638333333,NA,20.305,NA,NA,NA,NA,NA,20.305
178,Achillea millefolium,23.95541537,0.423259428,21.37548076,18.30918941,0.2032,NA,NA,18.16128451,19.09239131,17.67389241
179,Achillea nobilis,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA
180,Achillea ptarmica,56.14166049,0.9875,48.00586333,23.07366642,NA,NA,NA,24.2525,NA,21.89483284
181,Achillea roseo-alba,NA,0.436666667,NA,NA,NA,NA,NA,NA,NA,NA
182,Achillea salicifolia,NA,0.625,NA,21.64,NA,NA,NA,NA,NA,21.64
183,Achillea seidlii,NA,0.45,NA,8.088333333,NA,NA,NA,NA,NA,8.088333333
184,Achillea thracica,NA,NA,NA,11.09455564,NA,NA,NA,11.09455564,NA,NA
185,Achnatherum hymenoides,16.01872727,0.6096,NA,NA,0.4572,NA,NA,NA,NA,NA
186,Achnatherum inebrians,33.8,NA,NA,13.36681263,NA,NA,NA,13.40029192,13.33333333,NA
187,Achnatherum lemmonii,NA,0.9144,NA,NA,0.3048,NA,NA,NA,NA,NA
188,Achnatherum occidentale subsp. occidentale,NA,0.6096,NA,NA,0.4064,NA,NA,NA,NA,NA
189,Achnatherum pekinense,21.72,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,Achnatherum sibiricum,26.26666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,Achnatherum virescens,NA,0.4675,NA,26.35431918,NA,NA,NA,26.35431918,NA,NA
192,Achyranthes aspera,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA
193,Achyrocline gardnerii,NA,0.486538462,NA,NA,NA,NA,NA,NA,NA,NA
194,Achyrocline satureioides,NA,NA,NA,14.28664828,NA,NA,NA,NA,NA,14.28664828
195,Acicarpha tribuloides,NA,NA,NA,18.2469315,NA,NA,NA,NA,NA,18.2469315
196,Acmella bellidioides,NA,0.2118,NA,NA,NA,NA,NA,NA,NA,NA
197,Acmella repens,NA,0.21336,NA,NA,0.1524,NA,NA,NA,NA,NA
198,Acmispon glabrus,20.4,1.5,NA,9.71364274,NA,NA,NA,8.956,NA,10.47128548
199,Acmispon wrightii,NA,0.3048,NA,NA,0.3048,NA,NA,NA,NA,NA
200,Aconitum altaicum,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,Aconitum columbianum,NA,1.524,NA,NA,0.254,NA,NA,NA,NA,NA
202,Aconitum gymnandrum,31.585,NA,NA,16.72650857,NA,NA,NA,16.78635047,16.66666667,NA
203,Aconitum lycoctonum,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA
204,Aconitum lycoctonum subsp. vulparia,NA,NA,NA,23.68333333,NA,NA,NA,26.96,NA,20.40666667
205,Aconitum napellus,NA,1.1125,NA,20.83333333,NA,NA,NA,21.91666667,NA,19.75
206,Aconitum variegatum,28.98257038,1.05,NA,22.72046006,NA,NA,NA,22.72046006,NA,NA
207,Acorus calamus,18,1.208,NA,32.75087241,0.3048,NA,NA,22.32761724,38.725,37.2
208,Acorus calamus var. americanus,NA,1.18872,NA,NA,0.254,NA,NA,NA,NA,NA
209,Acourtia nana,18.76667,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,Acrocarpus fraxinifolius,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,Acronychia acidula,NA,NA,NA,11.76470588,NA,NA,NA,NA,11.76470588,NA
212,Acronychia pedunculata,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,Acropogon dzumacensis,9.3,NA,NA,5.68,NA,NA,NA,5.68,NA,NA
214,Acrothamnus colensoi,NA,0.3,NA,9.258232239,NA,NA,NA,NA,NA,9.258232239
215,Acrotome sp,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,Acrotriche rigida,NA,0.4,NA,7.012154887,NA,NA,NA,NA,7.012154887,7.012154887
217,Actaea rubra,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,Actaea spicata,NA,0.504166667,NA,37.69166667,NA,NA,NA,41.27333333,NA,34.11
219,Actinidia chinensis,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,Actinobole uliginosum,NA,0.015,NA,18.51241452,NA,NA,NA,NA,18.97988602,18.04494301
221,Actinocephalus polyanthus,NA,NA,NA,9.259259259,NA,NA,NA,NA,9.259259259,NA
222,Actinodaphne ambigua,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,Actinostemon concolor,NA,4.040928572,NA,NA,NA,NA,NA,NA,NA,NA
224,Actinostemon klotzschii,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,Actinotus helianthi,NA,0.3,NA,8.968970588,NA,NA,NA,NA,8.968970588,8.968970588
226,Actinotus minor,NA,0.4,NA,7.372232659,NA,NA,NA,NA,7.372232659,7.372232659
227,Adelia triloba,29.15789104,13.1675,NA,25.23468793,NA,NA,NA,25.57184939,NA,24.89752647
228,Adelobotrys adscendens,NA,NA,NA,13.13464749,NA,NA,NA,13.66989522,NA,12.59939975
229,Adelobotrys scandens,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,Adelphia hiraea,22.38774535,NA,NA,12.00308913,NA,NA,NA,13.44146144,NA,10.56471682
231,Adenanthera pavonina,29.93333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,Adenanthos cygnorum,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,Adenocalymma neoflavidum,NA,NA,NA,7.211047465,NA,NA,NA,NA,7.211047465,NA
234,Adenocalymma sp,NA,NA,NA,10.20190261,NA,NA,NA,NA,10.20190261,NA
235,Adenocalymma subincanum,NA,NA,NA,7.152915494,NA,NA,NA,NA,7.152915494,NA
236,Adenocalymma tanaeciicarpum,NA,NA,NA,12.1262532,NA,NA,NA,NA,12.1262532,NA
237,Adenophora liliifolia,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA
238,Adenophora stenanthina,28.48,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,Adenostoma fasciculatum,10.40386,3.2192,4.9954,4.407234354,0.2032,NA,NA,5.721,3.95256917,3.548133892
240,Adenostyles alliariae,24.96303,0.7,10.82496,26.125,NA,NA,NA,30.34,NA,21.91
241,Adenostyles alpina,27.24342,NA,14.24011,NA,NA,NA,NA,NA,NA,NA
242,Adenostyles alpina subsp. alpina,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA
243,Adesmia bicolor,NA,NA,NA,11.97946311,NA,NA,NA,NA,NA,11.97946311
1,ADIANTUM CAPILLUS-VENERIS,NA,0.45908,NA,NA,0.0508,NA,NA,NA,NA,NA
244,Adiantum flabellulatum,10.375,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,Adiantum formosum,NA,0.4,NA,29.24284314,NA,NA,NA,NA,29.24284314,29.24284314
246,Adiantum latifolium,NA,NA,NA,32.25806452,NA,NA,NA,NA,32.25806452,NA
247,Adiantum pedatum,NA,0.39624,NA,39.37007874,0.254,NA,NA,NA,39.37007874,NA
248,Adina cordifolia,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,Adinandra dumosa,NA,NA,NA,7.53,NA,NA,NA,7.53,7.53,NA
250,Adinandra hainanensis,11.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,Adonis aestivalis,NA,0.355,NA,33.04525641,NA,NA,NA,24.02051282,NA,42.07
252,Adonis annua,NA,0.2375,NA,NA,NA,NA,NA,NA,NA,NA
253,Adonis dentata,11.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,Adonis flammea,NA,0.4125,NA,NA,NA,NA,NA,NA,NA,NA
255,Adonis vernalis,NA,0.3625,NA,15.09626686,NA,NA,NA,14.45086705,NA,15.74166667
256,Adoxa moschatellina,37.25,0.11,NA,38.45,NA,NA,NA,38.45,NA,NA
257,Aechmea floribunda,9.727941175,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,Aechmea magdalenae,NA,NA,NA,7.142857143,NA,NA,NA,NA,7.142857143,NA
259,Aechmea nudicaulis,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,Aegiceras corniculatum,14.15607143,NA,NA,7.007,NA,NA,NA,6.82,7.194,NA
261,Aegilops caudata,NA,NA,NA,27.85,NA,NA,NA,27.85,NA,NA
262,Aegilops columnaris,NA,NA,NA,24.225,NA,NA,NA,24.225,NA,NA
263,Aegilops comosa,NA,NA,NA,24.75,NA,NA,NA,24.75,NA,NA
264,Aegilops crassa,NA,NA,NA,24.6,NA,NA,NA,24.6,NA,NA
265,Aegilops cylindrica,NA,NA,NA,25.875,NA,NA,NA,25.875,NA,NA
266,Aegilops geniculata,NA,0.086,NA,23.66,NA,NA,NA,24.72,22.6,NA
267,Aegilops juvenalis,NA,NA,NA,25.175,NA,NA,NA,25.175,NA,NA
268,Aegilops kotschyi,NA,0.16667,NA,23.8348176,NA,NA,NA,23.8348176,NA,NA
269,Aegilops longissima,NA,NA,NA,31.075,NA,NA,NA,31.075,NA,NA
270,Aegilops lorentii,NA,NA,NA,25.225,NA,NA,NA,25.225,NA,NA
271,Aegilops mutica,NA,NA,NA,28.375,NA,NA,NA,28.375,NA,NA
272,Aegilops neglecta,NA,NA,NA,24.78,NA,NA,NA,24.78,NA,NA
273,Aegilops peregrina,NA,NA,NA,27.1,NA,NA,NA,27.1,NA,NA
274,Aegilops searsii,NA,NA,NA,24.3,NA,NA,NA,24.3,NA,NA
275,Aegilops speltoides,NA,NA,NA,28.575,NA,NA,NA,28.575,NA,NA
276,Aegilops tauschii,NA,NA,NA,29.6,NA,NA,NA,29.6,NA,NA
277,Aegilops triuncialis,17.9,NA,NA,24.01,NA,NA,NA,24.92,23.1,NA
278,Aegilops umbellulata,NA,NA,NA,24.275,NA,NA,NA,24.275,NA,NA
279,Aegilops uniaristata,NA,NA,NA,29.3,NA,NA,NA,29.3,NA,NA
280,Aegilops vavilovii,NA,NA,NA,21.3,NA,NA,NA,21.3,NA,NA
281,Aegilops ventricosa,NA,NA,NA,28.325,NA,NA,NA,28.325,NA,NA
282,Aegiphila cephalophora,34.38278593,NA,NA,23.73820576,NA,NA,NA,25.22354688,NA,22.25286464
283,Aegiphila costaricensis,15.51,NA,NA,23.52941176,NA,NA,NA,NA,23.52941176,NA
284,Aegiphila elata,26.80521493,NA,NA,16.14458265,NA,NA,NA,16.48928421,NA,15.7998811
285,Aegiphila lhotzkiana,25.46666667,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,Aegiphila panamensis,39.93180166,11.94291632,NA,25.98795664,NA,NA,NA,26.32712192,NA,25.64879135
287,Aegiphila scandens,30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,Aegiphila sellowiana,28.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,Aegiphila sp,33.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,Aegle marmelos,19.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,Aegopodium podagraria,27.71375427,0.570083333,NA,29.25791172,NA,1083.691019,NA,29.6004329,30,28.17330226
292,Aeluropus littoralis,14.96875,NA,3.9,NA,NA,NA,NA,NA,NA,NA
293,Aeschynanthus pulcher,NA,NA,NA,13.90151822,NA,NA,NA,13.90151822,NA,NA
294,Aeschynomene elegans,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA
295,Aesculus californica,20.5,10.68933333,NA,18.272,0.9144,NA,NA,18.272,NA,NA
