"","AccSpeciesName","Plant biomass and allometry: Root mass fraction (fraction of root dry mass per whole plant dry mass)","Fine root tissue density (fine root dry mass per fine root volume)","Root length per root dry mass (specific root length, SRL)","Root tissue density (root dry mass per root volume)"
"465","Carpinus betulus",0.2778,0.63558001125,NA,NA
"466","Carpinus caroliensis",NA,0.210658137,NA,NA
"467","Carpinus caroliniana",NA,0.21,NA,NA
"468","Carpodetus serratus",NA,0.160828348285714,NA,NA
"469","Carum carvi",NA,NA,25342.2108057,0.337532258
"470","Carum caucasicum",NA,NA,13159.00001,NA
"471","Carum meifolium",NA,NA,8809.999999,NA
"472","Carum sp",NA,NA,35061.50001,NA
"473","Carya cordifolia",NA,0.228633937478261,NA,NA
"474","Carya cordiformis",NA,0.22,NA,NA
"475","Carya glabra",NA,0.4195,NA,NA
"476","Carya ovata",NA,0.237087895459184,NA,NA
"477","Cascabela ovata",0.31,NA,NA,NA
"478","Casearia arborea",0.315,NA,NA,NA
"479","Casearia gossypiosperma",0.3416585091,NA,NA,NA
"480","Casearia sylvestris",0.248,NA,NA,NA
"481","Castanea henryi",0.16145,0.49,NA,NA
"482","Castanea sativa",0.366496970333333,NA,NA,NA
"483","Castanopsis carlesii",0.18685,NA,NA,NA
"484","Castanopsis cuspidata",0.1465,NA,NA,NA
"485","Castanopsis echinocarpa",0.2115,0.53,NA,NA
"486","Castanopsis eyrei",0.13575,NA,NA,NA
"487","Castanopsis faberi",NA,NA,629.227676542857,0.548803642428571
"488","Castanopsis fargesii",0.136,NA,NA,NA
"489","Castanopsis fissa",0.1890625,0.55,624.49077567,0.6320428815
"490","Castanopsis hystrix",0.1934,0.54,NA,NA
"491","Castanopsis kawakamii",0.17418,NA,NA,NA
"492","Castanopsis lamontii",0.16965,NA,NA,NA
"493","Castanopsis sclerophylla",0.1131,NA,NA,NA
"494","Castanopsis tonkinensis",NA,NA,440.295727357273,0.822208760090909
"495","Castanopsis wattii",NA,0.51,NA,NA
"496","Castanospermum australe",0.318666666666667,NA,NA,NA
"497","Castanospora alphandi",0.263166666666667,NA,NA,NA
"498","Castilleja sulphurea",0.7238716475,NA,NA,NA
"499","Casuarina equisetifolia",0.126663636363636,NA,NA,NA
"500","Catalpa bignonioides",NA,0.110900579,NA,NA
"501","Catunaregam spinosa",NA,0.38,NA,NA
"502","Cavanillesia hylogeiton",0.2921759981,NA,NA,NA
"503","Ceanothus cuneatus",0.323333333333333,NA,NA,NA
"504","Ceanothus leucodermis",0.36,NA,NA,NA
"505","Ceanothus tomentosus",0.381666666666667,NA,NA,NA
"506","Cecropia concolor",0.2045877886,NA,NA,NA
"507","Cecropia ficifolia",0.2495,NA,NA,NA
"508","Cecropia glaziovii",0.3105,NA,NA,NA
"509","Cecropia obtusifolia",0.319142857142857,NA,NA,NA
"510","Cecropia peltata",0.360666666666667,NA,NA,NA
"511","Cecropia schreberiana",0.57195,NA,NA,NA
"512","Cedrela fissilis",0.302203096583333,NA,NA,NA
"513","Cedrela odorata",0.3455,NA,416.1085397,NA
"514","Cedrelinga cateniformis",0.359833333333333,NA,NA,NA
"515","Cedrus deodara",0.204,NA,NA,NA
"516","Ceiba pentandra",0.284,0.247122123,263.6758649875,NA
"517","Ceiba samauma",0.530131549,NA,NA,NA
"518","Ceiba sp",NA,0.432920295,NA,NA
"519","Ceiba speciosa",0.4821942425,NA,NA,NA
"520","Celmisia angustifolia",0.436508334166667,NA,2473.69955104444,NA
"521","Celmisia gracilenta",NA,NA,903.638798066667,0.245893039
"522","Celmisia hieraciifolia",NA,0.290151515,903.638798177778,0.290151515
"523","Celmisia lyallii",0.505921936333333,NA,5592.84939968889,NA
"524","Celosia monosperma",0.286,NA,NA,NA
"525","Celtis australis",0.1990595575,0.766484225,NA,NA
"526","Celtis ehrenbergiana",NA,NA,1923.03923425,NA
"527","Celtis mildbraedii",0.2312,NA,NA,NA
"528","Celtis occidentalis",0.1035,NA,NA,NA
"529","Celtis sinensis",NA,0.62,NA,NA
"530","Cenchrus ciliaris",0.205485714285714,NA,NA,NA
"531","Cenostigma pluviosum",0.46613359475,NA,NA,NA
"532","Cenostigma pyramidale",0.374375,NA,NA,NA
"533","Centaurea cyanus",NA,NA,7076,NA
"534","Centaurea jacea",0.3058,NA,15132.5099030444,0.196997316478873
"535","Centaurea jacea subsp. jacea",NA,NA,6710.26666666667,NA
"536","Centaurea maculosa",0.2234,NA,NA,NA
"537","Centaurea nigra",NA,NA,8898.685174975,0.1880079324
"538","Centaurea pectinata",NA,0.1262,NA,NA
"539","Centaurea solstitialis",0.284666666666667,NA,NA,NA
"540","Centrolobium microchaete",0.409287190785714,NA,NA,NA
"541","Cerastium arvense",0.1737,0.486326636,NA,NA
"542","Cerastium fontanum",NA,NA,10162.4457206667,0.1332997974
"543","Cerastium tomentosum",NA,NA,15625,NA
"544","Ceratonia siliqua",0.339310526315789,NA,NA,NA
"545","Ceratopetalum apetalum",0.29925,NA,NA,NA
"546","Ceratostigma minus",NA,NA,475.940476,NA
"547","Cercidiphyllum japonicum",NA,0.159731421,NA,NA
"548","Cercis canadensis",NA,0.159,NA,NA
"549","Cercis siliquastrum",0.402,NA,NA,NA
"550","Ceriops decandra",0.182,NA,NA,NA
"551","Ceriops tagal",0.181,NA,NA,NA
"552","Chaenactis douglasii",0.2924121714,NA,NA,0.131262001
"553","Chaenorhinum minus",NA,NA,18613.69324,0.375
"554","Chamaecrista fasciculata",NA,0.1612955,12835.0615625,0.1651821675
"555","Chamaecyparis obtusa",0.223454545454545,0.571666666666667,NA,NA
"556","Chamaecytisus proliferus",0.2185,NA,NA,NA
"557","Chamaedorea elegans",0.2767,NA,NA,NA
"558","Chamaedorea ernesti-augusti",0.569666666666667,NA,NA,NA
"559","Chamaerops humilis",0.42512380952381,NA,NA,NA
"560","Chasmanthium latifolium",NA,NA,3863.85535375,NA
"561","Chelidonium majus",NA,NA,1337.86666666667,NA
"562","Chenopodium album",0.143962266442857,0.3304511955,28211.70545625,0.306521739
"563","Chenopodium ficifolium",NA,NA,12053.98237,0.440372671
"564","Cherleria circassica",NA,NA,3336.999999,NA
"565","Chionanthus retusus",0.4885,NA,NA,NA
"566","Chionanthus virginicus",NA,0.163664219,NA,NA
"567","Chionochloa crassiuscula",NA,NA,NA,0.3
"568","Chionochloa rigida",NA,NA,NA,0.415
"569","Chionochloa rubra",NA,NA,NA,0.345
"570","Chionochloa teretifolia",NA,NA,NA,0.38
"571","Chloris verticillata",NA,0.405159,7440.081704,0.336393583333333
"572","Chloroleucon mangense",0.4095,NA,NA,NA
"573","Choerospondias axillaris",0.1714,NA,NA,NA
"574","Chomelia psilocarpa",NA,0.27188320895,NA,NA
"575","Chromolaena odorata",0.1885,NA,NA,NA
"576","Chrysanthemum morifolium",0.256666666666667,NA,NA,NA
"577","Chrysophyllum pruniforme",0.211,NA,NA,NA
"578","Chrysopogon benthamianus",NA,NA,NA,0.39
"579","Chrysopogon latifolius",NA,NA,NA,0.283333333333333
"580","Chrysopsis villosa",0.8065526138,0.252040816,NA,0.270787124666667
"581","Cicer arietinum",0.322666666666667,NA,NA,NA
"582","Cichorium intybus",0.523285714285714,NA,11300.20806,0.386263736
"583","Cinnamomum burmanni",NA,NA,480.643902075,0.42787993525
"584","Cinnamomum camphora",0.24215,0.27,NA,NA
"585","Cinnamomum cassia",NA,0.13,NA,NA
"586","Cinnamomum micranthum",NA,0.32,NA,NA
"587","Cinnamomum pachyphyllum",NA,0.185,NA,NA
"588","Cinnamomum parthenoxylon",NA,0.28,810.370570636842,0.303479994894737
"589","Cinnamomum rigidissimum",NA,NA,451.085553808,0.39046204904
"590","Circaea lutetiana",0.468,NA,NA,NA
"591","Cirsium acaule",NA,NA,8746.705022,0.417525773
"592","Cirsium altissimum",NA,0.2055,11968.3723857143,0.205500128571429
"593","Cirsium arvense",0.3087,NA,NA,NA
"594","Cirsium dissectum",0.288933333333333,NA,NA,NA
"595","Cirsium oleraceum",NA,NA,13996.8683342,0.2005663015
"596","Cirsium palustre",0.2744,NA,14462.57004,0.212943633
"597","Cirsium vulgare",0.2044,NA,13124.33191,0.285613682
"598","Cistus albidus",0.05175,0.7750240525,NA,NA
"599","Cistus clusii",0.125210446,NA,NA,NA
"600","Cistus crispus",NA,0.615401581,NA,NA
"601","Cistus ladanifer",0.172366666666667,0.906095206,NA,NA
"602","Cistus laurifolius",0.0751,NA,NA,NA
"603","Cistus libanotis",NA,0.813983443,NA,NA
"604","Cistus monspeliensis",0.3025,0.622950977,NA,NA
"605","Cistus salviifolius",NA,0.7855069235,10351,NA
"606","Citrus aurantiifolia",0.279,NA,NA,NA
"607","Citrus aurantium_x",0.346384615384615,NA,NA,NA
"608","Citrus reticulata",0.400625,NA,NA,NA
"609","Citrus taitensis_x",0.27695,NA,NA,NA
"610","Citrus trifoliata",0.3025,NA,NA,NA
"611","Citrus volkameriana",0.2919375,NA,NA,0.436828951
"612","Cladanthus mixtus",0.26,NA,NA,NA
"613","Clausena lansium",NA,0.437041456,NA,NA
"614","Clematis akebioides",NA,NA,387.3748605,NA
"615","Clematis vitalba",0.230345564166667,NA,NA,NA
"616","Cleyera obscurinervia",NA,NA,544.697926931936,0.617767258612903
"617","Clidemia hirta",0.24525,NA,NA,NA
"618","Clinopodium nepeta",NA,0.14925,NA,NA
"619","Clitoria javitensis",NA,0.25321592055,NA,NA
"620","Cnidoscolus aconitifolius",NA,0.202657215,NA,NA
"621","Coccoloba barbadensis",0.289,NA,NA,NA
"622","Coccoloba manzinellensis",NA,0.49774246035,NA,NA
"623","Coccoloba parimensis",NA,0.44260800355,NA,NA
"624","Coccoloba uvifera",NA,0.551832973,NA,NA
"625","Cochlospermum vitifolium",0.4045,NA,NA,NA
"626","Cocos nucifera",0.14625,NA,NA,NA
"627","Coelorachis rottboellioides",NA,NA,NA,0.69
"628","Coffea arabica",0.2265,NA,287.180666506452,NA
"629","Colobanthus acicularis",0.2785894465,NA,2285.7689552,NA
"630","Colophospermum mopane",0.3532625,NA,628.76392345,NA
"631","Colpodium ponticum",NA,NA,7881.000004,NA
"632","Colpodium variegatum",NA,NA,5470.497055,NA
"633","Comandra umbellata",NA,0.334821433,NA,NA
"634","Combretum apiculatum",0.358,NA,NA,NA
"635","Combretum collinum",NA,0.39,NA,NA
"636","Combretum decandrum",NA,0.3242755793,NA,NA
"637","Combretum hereroense",0.286,NA,NA,NA
"638","Combretum leprosum",0.466323626,NA,NA,NA
"639","Combretum molle",0.310166666666667,NA,NA,NA
"640","Combretum zeyheri",0.391,NA,NA,NA
"641","Comptonia peregrina",NA,NA,4178.3456845,NA
"642","Condea emoryi",NA,NA,5532.1365696375,NA
"643","Convolvulus arvensis",0.361,NA,NA,NA
"644","Conyza canadensis",NA,0.09,8500.13333333333,NA
"645","Coprosma ciliata",NA,0.34,NA,NA
"646","Coprosma foetidissima",NA,0.21,NA,NA
"647","Coprosma linariifolia",NA,0.196343035428571,NA,NA
"648","Coprosma lucida",NA,0.23,NA,NA
"649","Coprosma perpusilla",NA,NA,2428.771523,0.267256637
"650","Coprosma petriei",NA,0.249638663,5822.13305225,0.249638663
"651","Coprosma rhamnoides",NA,0.2,NA,NA
"652","Cordia alliodora",0.309142857142857,0.467430763,NA,NA
"653","Cordia borinquensis",0.294,NA,NA,NA
"654","Cordia elaeagnoides",0.3215,NA,NA,NA
"655","Cordia megalantha",0.28,NA,NA,NA
"656","Cordia sinensis",0.154875,NA,NA,NA
"657","Cordia sulcata",0.203,NA,NA,NA
"658","Cordiera macrophylla",0.2012517715,NA,NA,NA
"659","Coreopsis palmata",0.4125,0.1,NA,NA
"660","Coriaria arborea",NA,0.46,NA,NA
"661","Cornus alba",0.292,NA,NA,NA
"662","Cornus canadensis",NA,NA,6199.652778,NA
"663","Cornus florida",NA,0.2009608705,NA,NA
"664","Cornus sanguinea",0.188849663309524,NA,NA,NA
"665","Cornus sp",NA,0.1909269765,NA,NA
"666","Coronilla juncea",NA,0.589211904,NA,NA
"667","Coronilla minima",NA,0.186000026333333,NA,NA
"668","Corydalis conorhiza",NA,NA,9850.000006,NA
"669","Corylus avellana",0.204418064,NA,NA,NA
"670","Corylus jacquemontii",0.239,NA,NA,NA
"671","Corymbia citriodora",0.19295,NA,NA,NA
"672","Corymbia erythrophloia",0.111433333333333,NA,NA,NA
"673","Corymbia tessellaris",0.2257625,NA,NA,NA
"674","Corynephorus canescens",0.299411111111111,NA,NA,NA
"675","Corynocarpus laevigatus",NA,0.1627042304,NA,NA
"676","Cota tinctoria",NA,NA,17333.72372,0.409375
"677","Coulteria platyloba",0.35125,NA,NA,NA
"678","Cranfillia fluviatilis",NA,0.29,NA,NA
"679","Crassula sinclairii",NA,NA,NA,NA
"680","Crataegus monogyna",0.26696444348718,0.700739281,NA,NA
"681","Crataegus sp",NA,0.17025,NA,NA
"682","Cratoxylum cochinchinense",NA,0.41,NA,NA
"683","Crepis biennis",NA,NA,12404.884448,0.142283505
"684","Crepis capillaris",0.38,NA,NA,NA
"685","Crepis foetida",NA,0.072,NA,NA
"686","Crepis pulchra",NA,0.06,NA,NA
"687","Crepis sancta",NA,0.05,NA,NA
"688","Crepis tectorum",NA,0.09,NA,NA
"689","Crescentia alata",0.394,NA,NA,NA
"690","Crotalaria spectabilis",0.18,NA,NA,NA
"691","Croton urucurana",0.31025,NA,NA,NA
"692","Cryptocarya chinensis",NA,0.31,210.18091370625,0.36619926021875
"693","Cryptocarya chingii",NA,NA,436.280701325714,0.463218950257143
"694","Cryptocarya concinna",NA,0.37,NA,NA
"695","Cryptocarya erythroxylon",0.335,NA,NA,NA
"696","Cryptomeria japonica",0.191743661971831,NA,NA,NA
"697","Cryptotaenia japonica",NA,NA,446.6158582,NA
"698","Cucumis melo",0.165166666666667,NA,NA,NA
"699","Cucumis sativus",0.184323076923077,NA,NA,NA
"700","Cucurbita foetidissima",NA,0.399121,6741.55171585714,0.399120917142857
"701","Cunninghamia lanceolata",0.192656,NA,NA,NA
"702","Cuoropita guianensis",NA,0.3341910835,NA,NA
"703","Cupressus funebris",0.151693103448276,NA,NA,NA
"704","Cyathea dealbata",NA,0.214269292,NA,NA
"705","Cyathea medullaris",NA,0.198812421181818,NA,NA
"706","Cyathea smithii",NA,0.32782153375,NA,NA
"707","Cyathodes fraseri",NA,0.51971046515625,1970.05716759375,0.51971046515625
"708","Cydonia oblonga",NA,0.933558265,NA,NA
"709","Cymbopogon obtectus",NA,NA,NA,0.62
"710","Cymbopogon sp",NA,NA,NA,0.805
"711","Cymopterus lemmonii",0.4785865864,NA,NA,0.216091577333333
"712","Cynodon sp",NA,NA,NA,0.49
"713","Cynometra ananta",0.3192,NA,NA,NA
"714","Cynosurus cristatus",0.380844444444444,0.229,32701.5692096667,0.157757729828571
"715","Cyperus flavidus",NA,NA,8508.77573444445,NA
"716","Cypripedium acaule",NA,NA,135.9361136,NA
"717","Cyrilla racemiflora",0.2,NA,NA,NA
"718","Cytisus grandiflorus",NA,0.792650672,NA,NA
"719","Cytisus scoparius",0.2025722795,NA,NA,NA
"720","Dacrycarpus dacrydioides",NA,0.208925331,NA,NA
"721","Dacrycarpus imbricatus",NA,0.251375,NA,NA
"722","Dacrydium cupressinum",NA,0.223868743392857,NA,NA
"723","Dacrydium gracile",NA,0.2874,NA,NA
"724","Dacrydium pectinatum",NA,0.28225,NA,NA
"725","Dacryodes excelsa",0.226,NA,NA,NA
"726","Dacryodes rugosa",NA,0.672258065,NA,NA
"727","Dactylis glomerata",0.336755850565657,0.157828901,24491.3551758519,0.260931759840902
"728","Dactyloctenium australe",NA,NA,NA,0.7
"729","Dalbergia miscolobium",0.2451125,NA,NA,NA
"730","Dalea candida",NA,NA,10949.8371481429,0.112484192857143
"731","Dalea purpurea",NA,0.2053125,14233.450293,0.0886666667142857
"732","Danthonia decumbens",0.412755555555556,NA,NA,NA
"733","Danthonia intermedia",NA,0.583333333,NA,NA
"734","Danthonia spicata",0.24475,NA,NA,NA
"735","Daphne gnidium",0.272080758,NA,NA,NA
"736","Daphne mezereum",0.237002151,NA,NA,NA
"737","Dasymaschalon rostratum",NA,NA,276.779499152941,0.466280398705882
"738","Datura inoxia",0.165133333333333,NA,NA,NA
"739","Datura stramonium",0.220392857142857,NA,NA,NA
"740","Daucus carota",0.28725,0.077,13871.9447626667,0.3969754903
"741","Decaspermum gracilentum",NA,0.42,NA,NA
"742","Deschampsia cespitosa",0.390273913043478,0.24,22641.862498,0.225267735
"743","Deschampsia flexuosa",0.341128,NA,2542.999999,NA
"744","Deschampsia nubigena",NA,0.19202468,NA,NA
"745","Descurainia sophia",NA,0.475,NA,NA
"746","Desmanthus illinoensis",NA,0.416564,4509.0364425,0.42304699125
"747","Desmodium canadense",NA,0.09,NA,NA
"748","Desmodium illinoense",NA,0.263301,NA,0
"749","Detarium microcarpum",NA,NA,252.707268675,NA
"750","Dichrostachys cinerea",0.3421,NA,NA,NA
"751","Dicksonia squarrosa",NA,0.269333567681818,NA,NA
"752","Diervilla lonicera",NA,NA,9172.43083,NA
"753","Digitalis purpurea",0.220695152789474,NA,33535.4598778421,NA
"754","Digitaria bicornis",NA,NA,NA,0.72
"755","Digitaria ciliaris",0.2405,NA,NA,NA
"756","Digitaria eriantha",NA,NA,NA,0.68
"757","Digitaria longiflora",NA,NA,NA,0.62
"758","Diheteropogon filifolius",NA,NA,NA,0.63
"759","Dillenia suffruticosa",0.203989241,NA,NA,NA
"760","Dimorphandra mollis",0.3307,NA,NA,NA
"761","Diospyros morrisiana",NA,NA,475.10863096,0.4203704688
"762","Diospyros nigra",NA,0.234994769,NA,NA
"763","Diospyros virginiana",NA,0.124220088,NA,NA
"764","Diploglottis diphyllostegia",0.288666666666667,NA,NA,NA
"765","Dipterocarpus kunstleri",0.205666666666667,NA,NA,NA
"766","Dipteryx oleifera",0.312333333333333,NA,NA,NA
"767","Dodonaea peduncularis",0.375,NA,NA,NA
"768","Dodonaea viscosa",NA,0.327922114,NA,NA
"769","Doryphora sassafras",0.2605,NA,NA,NA
"770","Dovyalis abyssinica",NA,0.33,NA,NA
"771","Draba nemorosa",NA,0.5,NA,NA
"772","Draba verna",NA,0.1,48134.65953,0.371875
"773","Dracophyllum longifolium",NA,0.227779952333333,NA,NA
"774","Dryas octopetala",0.144294811,NA,NA,NA
"775","Drymocallis arguta",NA,0.4372934175,NA,NA
"776","Dryobalanops aromatica",0.15425,NA,NA,NA
"777","Drypetes glauca",0.3455,NA,NA,NA
"778","Duma florulenta",0.205666666666667,NA,NA,NA
"779","Dyera costulata",0.24825,NA,NA,NA
"780","Dysoxylum parasiticum",0.356833333333333,NA,NA,NA
"781","Dysoxylum spectabile",NA,0.176856307363636,NA,NA
"782","Echinacea angustifolia",NA,0.343163,8781.64929166667,0.343163415
"783","Echinacea atrorubens",NA,0.489457,3420.813245,0.39006581
"784","Echinacea pallida",NA,0.332593,4796.24722,0.33259259
"785","Echinacea purpurea",NA,0.22,NA,NA
"786","Echinacea serotina",NA,0.22,NA,NA
"787","Echinochloa crus-galli",0.3235,NA,NA,NA
"788","Echinodorus berteroi",NA,0.40177,1709.69897,0.40176991
"789","Echium plantagineum",0.24875,NA,NA,NA
"790","Ehrharta stipoides",NA,0.249079878,NA,NA
"791","Ekebergia capensis",NA,0.39,NA,NA
"792","Elaeagnus commutata",NA,0.431746032,NA,NA
"793","Elaeagnus stellipila",NA,NA,161.3453987,NA
"794","Elaeis guineensis",0.189415789473684,NA,NA,NA
"795","Elaeocarpus angustifolius",0.376666666666667,NA,NA,NA
"796","Elaeocarpus dentatus",NA,0.136968192,NA,NA
"797","Elaeocarpus dubius",NA,0.36,NA,NA
"798","Elaeocarpus hookerianus",NA,0.212116156666667,NA,NA
"799","Elaeocarpus reticulatus",0.29,NA,NA,NA
"800","Elaeocarpus sylvestris",0.2156,NA,NA,NA
"801","Eleocharis acuta",NA,0.152245492918605,6173.88020196512,0.152245731052326
"802","Eleocharis geniculata",NA,NA,7204.29528522222,NA
"803","Eleocharis pusilla",NA,0.126707630596774,12097.9786468421,0.139684023904448
"804","Eleusine indica",0.329,0.314068,31739.9968,0.29663462
"805","Eleutherococcus septemlobus",0.175,NA,NA,NA
"806","Elionurus muticus",NA,NA,NA,0.53
"807","Elymus athericus",0.221296663972222,NA,NA,NA
"808","Elymus canadensis",0.356316666666667,0.14083625,10033.0851625,0.293345165
"809","Elymus elymoides",0.378666666666667,NA,NA,NA
"810","Elymus hystrix",0.2815,NA,7732.09973433333,NA
"811","Elymus lanceolatus",0.7441397862,0.30820288,NA,0.227188609333333
"812","Elymus multisetus",NA,NA,3207.565216,NA
"813","Elymus repens",0.325357142857143,0.20016723455,9036.063894,0.337789661
"814","Elymus riparius",0.3065,NA,NA,NA
"815","Elymus smithii",0.407928571428571,0.284568,13701.7728716429,0.206072629714286
"816","Elymus sp",NA,NA,NA,0.65
"817","Elymus spicatus",0.462,NA,NA,NA
"818","Elymus villosus",NA,0.40354,14817.198175,0.4035402175
"819","Elymus violaceus",0.280625,NA,NA,NA
"820","Elymus virginicus",0.3695,0.278241,15109.76294875,0.281977679375
"821","Empetrum nigrum",0.120779756,NA,NA,NA
"822","Encelia frutescens",NA,NA,7012.6932545,NA
"823","Endospermum chinense",NA,0.21,274,0.31
"824","Endospermum diadenum",0.353087711166667,NA,NA,NA
"825","Engelhardia spicata",NA,0.4,466.39319045,0.600515968142857
"826","Engelhardtia spicata",NA,NA,2245.076204,0.3023886366
"827","Engelhardtia unijuga",NA,NA,611.722643753333,0.4674006704
"828","Enneapogon polyphyllus",NA,NA,NA,0.44
"829","Enterolobium cyclocarpum",0.406,0.184067148,NA,NA
"830","Ephedra fragilis",NA,0.515833978,NA,NA
"831","Epigaea repens",NA,NA,9836.25731,NA
"832","Epilobium angustifolium",0.225846685,NA,29392.5134966667,NA
"833","Epilobium angustum",NA,NA,6410.09872827586,0.09717696
"834","Epilobium ciliatum",0.245425,NA,NA,NA
"835","Epilobium ciliatum subsp. glandulosum",NA,NA,21719,NA
"836","Epilobium parviflorum",NA,NA,19140.45964,0.325903614
"837","Epilobium porphyrium",0.316919192,NA,12415.711625,NA
"838","Equisetum arvense",NA,NA,8907.33333333333,NA
"839","Eragrostis capensis",NA,NA,NA,0.75
"840","Eragrostis cumingii",NA,NA,NA,0.34
"841","Eragrostis curvula",NA,NA,NA,0.53
"842","Eragrostis mexicana",0.278,NA,NA,NA
"843","Eragrostis pectinacea",NA,0.372125,19781.091765,0.31908446
"844","Eragrostis pilosa",0.721,NA,NA,NA
"845","Eragrostis sp",NA,NA,NA,0.7
"846","Eragrostis superba",NA,NA,NA,0.685
"847","Eragrostis trichodes",NA,0.39,NA,NA
"848","Eremogone congesta",0.3990950046,NA,NA,0.421283838
"849","Eremogone lychnidea",NA,NA,3244.000002,NA
"850","Eriachne aristidea",0.2479,NA,NA,0.33
"851","Eriachne ciliata",NA,NA,NA,0.54
"852","Eriachne obtusa",NA,NA,NA,0.34
"853","Erica arborea",NA,0.654422225,NA,NA
"854","Erica cinerea",0.216129024,NA,NA,NA
"855","Erica scoparia",NA,1.12772211,NA,NA
"856","Ericameria linearifolia",NA,NA,10804.5561,NA
"857","Erigeron alpinus",NA,NA,14456,NA
"858","Erigeron annuus",NA,0.328758,6275.20477,0.32875817
"859","Erigeron caucasicus",NA,NA,14594.00002,NA
"860","Erigeron glabellus",NA,0.275066354,NA,NA
"861","Erigeron pumilus",NA,0.3,NA,NA
"862","Erigeron rufescens",NA,0.09,NA,NA
"863","Erigeron strigosus",NA,NA,1573,NA
"864","Eriobotrya japonica",NA,0.39,NA,NA
"865","Eriogonum fasciculatum",0.28,NA,NA,NA
"866","Eriogonum umbellatum",0.372352808,NA,NA,0.342028591333333
"867","Eriogonum wrightii",NA,NA,41521.90244,NA
"868","Eriophorum vaginatum",0.1547934038,NA,18899.3056864,NA
"869","Eriotheca pubescens",0.4565,NA,NA,NA
"870","Erithalis fruticosa",NA,0.394682994,NA,NA
"871","Eritrichium caucasicum",NA,NA,16635.00001,NA
"872","Erodium ciconium",NA,0.13,NA,NA
"873","Erodium cicutarium",NA,NA,19162.62238,0.43626943
"874","Eryngium yuccifolium",NA,0.216336,5727.70699875,0.216335625
"875","Erysimum capitatum",0.295698175666667,NA,NA,NA
"876","Erysimum cheiranthoides",0.31263,NA,12620.88158,0.518181818
"877","Erysimum inconspicuum",NA,0.288709678,NA,NA
"878","Erythrina speciosa",0.3965,NA,NA,NA
"879","Erythrina vespertilio",0.5780625,NA,NA,NA
"880","Erythroxylum daphnites",0.4458591895,NA,NA,NA
"881","Eucalyptus amplifolia",0.383333333333333,NA,NA,NA
"882","Eucalyptus apiculata",0.3,NA,NA,NA
"883","Eucalyptus argophloia",0.324666666666667,NA,NA,NA
"884","Eucalyptus burgessiana",0.303333333333333,NA,NA,NA
"885","Eucalyptus camaldulensis",0.24656511627907,NA,NA,NA
"886","Eucalyptus cladocalyx",0.342,NA,NA,NA
"887","Eucalyptus cloeziana",0.210333333333333,NA,NA,NA
"888","Eucalyptus crebra",0.1631375,NA,NA,NA
"889","Eucalyptus cypellocarpa",0.190666666666667,NA,NA,NA
"890","Eucalyptus delegatensis",0.202945013666667,NA,NA,NA
"891","Eucalyptus dumosa",0.245053472666667,NA,NA,NA
"892","Eucalyptus exserta",0.1929,NA,NA,NA
"893","Eucalyptus fastigata",0.32325,NA,NA,NA
"894","Eucalyptus globulus",0.12472262560049,NA,NA,NA
"895","Eucalyptus goniocalyx",0.27755,NA,NA,NA
"896","Eucalyptus grandis",0.265187804878049,127.962654287857,NA,NA
"897","Eucalyptus hybrida_x",0.5274,NA,NA,NA
"898","Eucalyptus largiflorens",0.3886,NA,NA,NA
"899","Eucalyptus leizhou",0.1384,NA,NA,NA
"900","Eucalyptus macrorhyncha",0.24545,NA,NA,NA
"901","Eucalyptus marginata",0.2585,NA,NA,NA
"902","Eucalyptus melanophloia",0.1969375,NA,NA,NA
"903","Eucalyptus microtheca",0.35075,NA,NA,NA
"904","Eucalyptus miniata",0.1765,NA,NA,NA
"905","Eucalyptus obliqua",0.109,NA,NA,NA
"906","Eucalyptus pauciflora",0.226971428571429,NA,NA,NA
"907","Eucalyptus pellita",0.354666666666667,NA,NA,NA
"908","Eucalyptus pilularis",0.160965209375,NA,NA,NA
"909","Eucalyptus platyphylla",0.2076625,NA,NA,NA
"910","Eucalyptus populnea",0.505203128666667,NA,NA,NA
"911","Eucalyptus pulverulenta",0.214333333333333,NA,NA,NA
"912","Eucalyptus regnans",0.093,NA,NA,NA
"913","Eucalyptus saligna",0.275916666666667,NA,NA,NA
"914","Eucalyptus shirleyi",0.2351125,NA,NA,NA
"915","Eucalyptus sideroxylon",0.32,NA,NA,NA
"916","Eucalyptus sieberi",0.323428571428571,NA,NA,NA
"917","Eucalyptus signata",0.308,NA,NA,NA
"918","Eucalyptus sp",0.245975,NA,NA,NA
"919","Eucalyptus tereticornis",0.1304,NA,NA,NA
"920","Eucalyptus umbra",0.359,NA,NA,NA
"921","Eucalyptus urophylla",0.182481818181818,0.63,NA,NA
"922","Euclea divinorum",0.336,NA,NA,NA
"923","Eucommia ulmoides",0.352533333333333,NA,NA,NA
"924","Eucryphia cordifolia",0.276666666666667,NA,NA,NA
"925","Eugenia dysenterica",0.31775,NA,NA,NA
"926","Eugenia stahlii",0.185333333333333,NA,NA,NA
"927","Eulalia aurea",NA,NA,NA,0.42
"928","Euonymus europaeus",0.4508,NA,NA,NA
"929","Euonymus hamiltonianus",0.562,NA,NA,NA
"930","Eupatorium altissimum",NA,0.226408,5735.3410425,0.226407595
"931","Eupatorium cannabinum",0.374,NA,NA,NA
"932","Eupatorium chinense",0.33675,NA,NA,NA
"933","Eupatorium fistulosum",NA,NA,2012.47147827778,NA
