"","AccSpeciesName","Plant biomass and allometry: Root mass fraction (fraction of root dry mass per whole plant dry mass)","Fine root tissue density (fine root dry mass per fine root volume)","Root length per root dry mass (specific root length, SRL)","Root tissue density (root dry mass per root volume)"
"332","Bidens pilosa",NA,0.091,NA,NA
"333","Bituminaria bituminosa",NA,0.091,NA,NA
"334","Blackstonia perfoliata",NA,0.11,NA,NA
"335","Blechnum novae-zelandiae",NA,0.38,NA,NA
"336","Blighia sapida",0.3316,NA,NA,NA
"337","Blumeodendron tokbrai",NA,0.249810507,NA,NA
"338","Borago officinalis",NA,NA,8452.78762,0.373071809
"339","Bossiaea walkeri",0.285,NA,NA,NA
"340","Bothriochloa insculpta",NA,NA,NA,0.556
"341","Bougainvillea modesta",0.372446088,NA,NA,NA
"342","Bouteloua curtipendula",0.388111111111111,0.280261,16471.9446766429,0.371857754857143
"343","Bouteloua dactyloides",0.283366666666667,NA,NA,NA
"344","Bouteloua gracilis",0.290625,0.42646381425,15073.3218766667,0.366570226666667
"345","Bouteloua sp",NA,NA,NA,0.52
"346","Brachiaria brizantha",0.246666666666667,NA,NA,NA
"347","Brachiaria mutica",NA,NA,NA,0.6
"348","Brachiaria pubigera",NA,NA,NA,0.37
"349","Brachychiton populneus",0.332,NA,NA,NA
"350","Brachyglottis bellidioides",0.397777988666667,NA,2983.41281155556,NA
"351","Brachylaena discolor",0.265516666666667,NA,NA,NA
"352","Brachypodium distachyon",0.36375,NA,NA,NA
"353","Brachypodium phoenicoides",0.32245,0.11825,NA,NA
"354","Brachypodium pinnatum",0.363902414054545,0.29,20698.993214,0.400775194
"355","Brachypodium sylvaticum",NA,0.31,NA,NA
"356","Brachystegia spiciformis",0.5566,NA,NA,NA
"357","Brassica napus",0.0918526315789474,NA,NA,NA
"358","Brickellia incana",0.354,NA,NA,NA
"359","Briza media",0.365406666666667,NA,15345.85946,0.507368421
"360","Bromus anomalus",NA,NA,26310.3955616667,0.104656451666667
"361","Bromus catharticus",0.281,0.113,NA,NA
"362","Bromus commutatus",NA,0.151,NA,NA
"363","Bromus diandrus",0.36,NA,NA,NA
"364","Bromus erectus",0.420854701,0.160875,17968.1587046667,0.286902968
"365","Bromus hordeaceus",0.305625,NA,45567.557585,0.19425
"366","Bromus inermis",0.405666666666667,0.32443856525,9522.2499915,0.373774905166667
"367","Bromus intermedius",0.275590909090909,NA,NA,NA
"368","Bromus kalmii",0.3275,NA,NA,NA
"369","Bromus madritensis",0.333766666666667,0.07575,NA,NA
"370","Bromus ramosus",0.2637,NA,NA,NA
"371","Bromus riparius",0.4055,NA,NA,NA
"372","Bromus sp",NA,NA,NA,0.44
"373","Bromus squarrosus",0.2875,NA,NA,NA
"374","Bromus sterilis",0.325,NA,NA,NA
"375","Bromus tectorum",0.432428571428571,NA,NA,NA
"376","Bromus tomentellus",0.3495,NA,NA,NA
"377","Brosimum alicastrum",NA,0.60381637,NA,NA
"378","Brosimum rubescens",0.441505,NA,NA,NA
"379","Broussonetia papyrifera",0.317,NA,NA,NA
"380","Bruguiera sexangula",0.33075,NA,NA,NA
"381","Buddleja davidii",0.170190845333333,NA,NA,NA
"382","Bulnesia arborea",NA,0.44504129,NA,NA
"383","Bunchosia argentea",NA,0.261240981,NA,NA
"384","Bursera simaruba",NA,0.291414141,NA,NA
"385","Buxus sempervirens",0.280927167166667,NA,NA,NA
"386","Byrsonima spicata",0.079,NA,NA,NA
"387","CAPSELLA BURSA-PASTORIS",0.2445,NA,26602.27222,0.316666667
"388","Caesalpinia eriostachys",0.32125,NA,NA,NA
"389","Cakile maritima",0.0924285714285714,NA,NA,NA
"390","Calamagrostis arundinacea",NA,NA,30859.5238,NA
"391","Calamagrostis avenoides",NA,0.168298775333333,5287.14443283333,0.168298775333333
"392","Calamagrostis canadensis",0.38378,0.11,NA,NA
"393","Calamagrostis epigejos",0.2155,NA,NA,NA
"394","Calamovilfa longifolia",NA,0.18,NA,NA
"395","Calamus tetradactylus",0.245,NA,NA,NA
"396","Calliandra eriophylla",NA,NA,2853.0299448,NA
"397","Calliandra sp",NA,0.520363636,NA,NA
"398","Callicarpa americana",NA,0.168178206,NA,NA
"399","Callicarpa havilandii",0.12406015,NA,NA,NA
"400","Callicoma serratifolia",0.34625,NA,NA,NA
"401","Callistemon brachyandrus",0.526666666666667,NA,NA,NA
"402","Callistemon citrinus",0.251,NA,NA,NA
"403","Callitris columellaris",0.405,NA,NA,NA
"404","Calluna vulgaris",0.203242972,1.194550386,NA,NA
"405","Calophyllum longifolium",0.4925,NA,NA,NA
"406","Calophyllum tetrapterum",0.327,NA,NA,NA
"407","Calotropis procera",0.1055,NA,NA,NA
"408","Calpurnia aurea",NA,0.32,NA,NA
"409","Calyptranthes pallens",NA,0.572892273,NA,NA
"410","Calystegia sepium",0.299833333333333,NA,NA,NA
"411","Camellia sinensis",0.362,NA,NA,NA
"412","Cameraria retusa",NA,0.356856449,NA,NA
"413","Campanula americana",NA,NA,23562,NA
"414","Campanula collina",NA,NA,12426.99999,NA
"415","Campanula patula",NA,NA,92991.847535,0.0375
"416","Campanula rotundifolia",NA,0.169907407,41461.498868,0.123195217
"417","Campanula tridentata",NA,NA,3961.999999,NA
"418","Canarium album",NA,NA,801.665687926923,0.321210183615385
"419","Canarium pimela",NA,NA,524.36925538,0.6628365198
"420","Canarium tonkinense",NA,0.13,NA,NA
"421","Cannabis sativa",0.111375,NA,NA,NA
"422","Capparidastrum petiolare",0.506866082375,NA,NA,NA
"423","Capsicum annuum",0.239544444444444,NA,NA,NA
"424","Caragana korshinskyi",0.346,NA,NA,NA
"425","Caragana microphylla",NA,NA,51,NA
"426","Carallia brachiata",NA,0.21,NA,NA
