"","site_code","Taxon","mean.before.control","mean.before.drought","mean.after.control","mean.after.drought","drought.after.minus.before","control.after.minus.before","cover.change","mean.after.drought.plus","mean.before.drought.plus","mean.after.control.plus","mean.before.control.plus","drought.after.minus.before.plus","control.after.minus.before.plus","cover.change.plus","relative.cover.change","log.fold.change.cover"
"65","jilpanger.au","HYALOSPERMA DEMISSUM",0.5,0.5,0.7,0.5,0,0.2,-0.2,0.5000001,0.5000001,0.7000001,0.5000001,0,0.2,-0.2,-0.399999920000016,0.714285755102035
"66","gmgranite.us","PECTOCARYA PLATYCARPA",0.5,0.5,0,0.5,0,-0.5,0.5,0.5000001,0.5000001,1e-07,0.5000001,0,-0.5,0.5,0.99999980000004,5000001
"67","gmmolar.us","LUPINUS CONCINNUS",0.5,0.5,0,0.5,0,-0.5,0.5,0.5000001,0.5000001,1e-07,0.5000001,0,-0.5,0.5,0.99999980000004,5000001
"68","gmmolar.us","DICHELOSTEMMA CAPITATUM",0.583333333,0.5,0.5,0.5,0,-0.083333333,0.083333333,0.5000001,0.5000001,0.5000001,0.583333433,0,-0.083333333,0.083333333,0.166666632666674,1.16666663266667
"69","credom.au","VITTADINIA EREMAEA",0.625,0.5,0.5,0.5,0,-0.125,0.125,0.5000001,0.5000001,0.5000001,0.6250001,0,-0.125,0.125,0.24999995000001,1.24999995000001
"70","jilpanger.au","HYPOCHAERIS GLABRA",0.7,0.5,0.5,0.5,0,-0.2,0.2,0.5000001,0.5000001,0.5000001,0.7000001,0,-0.2,0.2,0.399999920000016,1.39999992000002
"71","jilpanger.au","DROSERA HOOKERI",0.75,0.5,0.5,0.5,0,-0.25,0.25,0.5000001,0.5000001,0.5000001,0.7500001,0,-0.25,0.25,0.49999990000002,1.49999990000002
"72","credom.au","RYTIDOSPERMA CAESPITOSUM",0.75,0.5,0.625,0.5,0,-0.125,0.125,0.5000001,0.5000001,0.6250001,0.7500001,0,-0.125,0.125,0.24999995000001,1.19999996800001
"73","jilpanger.au","AIRA ELEGANTISSIMA",0.75,0.5,0.625,0.5,0,-0.125,0.125,0.5000001,0.5000001,0.6250001,0.7500001,0,-0.125,0.125,0.24999995000001,1.19999996800001
"74","jilpanger.au","CHAMAESCILLA CORYMBOSA",0.75,0.5,1.75,0.5,0,1,-1,0.5000001,0.5000001,1.7500001,0.7500001,0,1,-1,-1.99999960000008,0.428571461224488
"75","sevmixed.us","MACHAERANTHERA PINNATIFIDA",0.833333333,0.5,0.5,0.5,0,-0.333333333,0.333333333,0.5000001,0.5000001,0.5000001,0.833333433,0,-0.333333333,0.333333333,0.666666532666694,1.66666653266669
"76","sevmixed.us","SOLANUM ELAEAGNIFOLIUM",1.375,0.5,0.5,0.5,0,-0.875,0.875,0.5000001,0.5000001,0.5000001,1.3750001,0,-0.875,0.875,1.74999965000007,2.74999965000007
"77","jilpanger.au","ACAENA ECHINATA",1.8,0.5,5.3,0.5,0,3.5,-3.5,0.5000001,0.5000001,5.3000001,1.8000001,0,3.5,-3.5,-6.99999860000028,0.339622653969384
"78","credom.au","EUPHORBIA DRUMMONDII",0,0.5,0.5,0.5,0,0.5,-0.5,0.5000001,0.5000001,0.5000001,1e-07,0,0.5,-0.5,-0.99999980000004,1.99999960000008e-07
"79","jilpanger.au","HYPOLAENA FASTIGIATA",0,0.5,0.5,0.5,0,0.5,-0.5,0.5000001,0.5000001,0.5000001,1e-07,0,0.5,-0.5,-0.99999980000004,1.99999960000008e-07
"80","jilpanger.au","RANUNCULUS ROBERTSONII",0,0.5,0.5,0.5,0,0.5,-0.5,0.5000001,0.5000001,0.5000001,1e-07,0,0.5,-0.5,-0.99999980000004,1.99999960000008e-07
"81","oreaa.us","COLLINSIA PARVIFLORA",0,0.5,0.5,0.5,0,0.5,-0.5,0.5000001,0.5000001,0.5000001,1e-07,0,0.5,-0.5,-0.99999980000004,1.99999960000008e-07
"82","cdpt_drt.us","LYGODESMIA JUNCEA",1,0.5,1.2,0.55,0.05,0.2,-0.15,0.5500001,0.5000001,1.2000001,1.0000001,0.05,0.2,-0.15,-0.299999940000012,0.91666666527778
"83","gmgranite.us","CRYPTANTHA CIRCUMSCISSA",0.5,0.5,0.833333333,0.625,0.125,0.333333333,-0.208333333,0.6250001,0.5000001,0.833333433,0.5000001,0.125,0.333333333,-0.208333333,-0.416666582666684,0.750000030299996
"84","jilpanger.au","LOMANDRA NANA",0.666666667,0.5,0.5,0.666666667,0.166666667,-0.166666667,0.333333334,0.666666767,0.5000001,0.5000001,0.666666767,0.166666667,-0.166666667,0.333333334,0.666666534666693,1.77777760177782
"85","matador.ca","CERASTIUM ARVENSE",2.25,0.5,3.5,0.75,0.25,1.25,-1,0.7500001,0.5000001,3.5000001,2.2500001,0.25,1.25,-1,-1.99999960000008,0.964285665306134
"86","capwhite.us","ASTRAGALUS NUTTALLIANUS",0,0.5,0.5,0.75,0.25,0.5,-0.25,0.7500001,0.5000001,0.5000001,1e-07,0.25,0.5,-0.25,-0.49999990000002,2.9999992000002e-07
"87","kernnu.ca","CERASTIUM ARVENSE",0,0.5,0.5,0.75,0.25,0.5,-0.25,0.7500001,0.5000001,0.5000001,1e-07,0.25,0.5,-0.25,-0.49999990000002,2.9999992000002e-07
"88","gmmolar.us","PLAGIOBOTHRYS ARIZONICUS",0.5,0.5,0.75,0.833333333,0.333333333,0.25,0.083333333,0.833333433,0.5000001,0.7500001,0.5000001,0.333333333,0.25,0.083333333,0.166666632666674,1.11111109585185
"89","cdpt_drt.us","GAURA COCCINEA",0.1,0.5,2,1,0.5,1.9,-1.4,1.0000001,0.5000001,2.0000001,0.1000001,0.5,1.9,-1.4,-2.79999944000011,0.100000084999988
"90","cdpt_drt.us","LIATRIS PUNCTATA",0.5,0.5,0.5,1,0.5,0,0.5,1.0000001,0.5000001,0.5000001,0.5000001,0.5,0,0.5,0.99999980000004,1.99999980000004
"91","falls.au","TRISETUM SPICATUM",0.5,0.5,0.5,1,0.5,0,0.5,1.0000001,0.5000001,0.5000001,0.5000001,0.5,0,0.5,0.99999980000004,1.99999980000004
"92","gmmolar.us","ERIOGONUM MACULATUM",0.5,0.5,0.5,1,0.5,0,0.5,1.0000001,0.5000001,0.5000001,0.5000001,0.5,0,0.5,0.99999980000004,1.99999980000004
