"","site_code","Taxon","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","rootDiam.mm","SRL.groot.cahill.merge","RTD.groot.cahill.merge","RMF.g.g","local_lifespan","local_lifeform","functional_group"
"841","cedarsav.us","SORGHASTRUM NUTANS",18.8,9,0.263333334,12.414309,29.61,0.6096,0.5351,106.1696388,0.244891,0.445328557,"PERENNIAL","GRASS","GRASS"
"842","sclaudio.ar","SORGHUM HALEPENSE",4.75,18.8152,1.3834,NA,17.98889051,0.254,NA,NA,NA,0.31125,"PERENNIAL","GRASS","GRASS"
"843","marcdrt.ar","SPARTINA DENSIFLORA",8.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","GRASS","GRASS"
"844","ukulingadrt.za","SPERMACOCE NATALENSIS",-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"845","cdpt_drt.us","SPHAERALCEA COCCINEA",0.666666667,28.09,0.075,8.966666667,12.61454363,0.1524,0.3163,15.44302838,0.312666667,NA,"PERENNIAL","FORB","FORB"
"846","nplatte.us","SPHAERALCEA COCCINEA",-2,28.09,0.075,8.966666667,12.61454363,0.1524,0.3163,15.44302838,0.312666667,NA,"PERENNIAL","FORB","FORB"
"847","sevblue.us","SPHAERALCEA HASTULATA",-2.5,NA,NA,NA,14.04606421,2.5,NA,NA,NA,NA,"PERENNIAL","FORB","FORB"
"848","konzadrt.us","SPOROBOLUS COMPOSITUS",-2.4,8.2,0.496495098,NA,9.50769231,1.016,NA,NA,NA,NA,"PERENNIAL","GRASS","GRASS"
"849","cdpt_drt.us","SPOROBOLUS CRYPTANDRUS",4.125,17.56,0.352,27.8335825,23.90754717,0.4572,0.219983333,22.63833333,0.476,0.324,"PERENNIAL","GRASS","GRASS"
"850","jorndrt.us","SPOROBOLUS FLEXUOSUS",11.35,NA,0.9144,NA,15.81345753,0.254,NA,NA,NA,NA,"PERENNIAL","GRASS","GRASS"
"851","spvdrt.ar","SPOROBOLUS RIGENS",8.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","GRASS","GRASS"
"852","elvadrt.ee","STELLARIA GRAMINEA",-0.5,28.561766,0.4416,NA,30.84892921,0.34,0.135266667,251.0337458,0.337078652,0.461407166,"PERENNIAL","FORB","FORB"
"853","teshio.jp","STELLARIA GRAMINEA",0.833333333,28.561766,0.4416,NA,30.84892921,0.34,0.135266667,251.0337458,0.337078652,0.461407166,"PERENNIAL","FORB","FORB"
"854","marcdrt.ar","STENOTAPHRUM SECUNDATUM",1.5,NA,0.27432,NA,23,0.3048,0.1855714,NA,NA,NA,"PERENNIAL","GRASS","GRASS"
"855","naposta.ar","STIPA CAUDATA",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","GRASS","GRASS"
"856","biddulph.ca","STIPA COMATA",0,20.1,0.9144,15.9,16.95,0.4064,0.2,79.18825345,0.33136934,0.4745,"PERENNIAL","GRAMINOID","GRASS"
"857","kernb.ca","STIPA CURTISETA",4.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","GRAMINOID","GRASS"
"858","kernnu.ca","STIPA CURTISETA",5.333333334,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PERENNIAL","GRAMINOID","GRASS"
"859","credom.au","STIPA NITIDA",-1.125,NA,0.8,NA,9.58,NA,NA,NA,NA,NA,"PERENNIAL","GRASS","GRASS"
"860","credoj.au","STIPA NITIDA",1.666666667,NA,0.8,NA,9.58,NA,NA,NA,NA,NA,"PERENNIAL","GRASS","GRASS"
